result results
jack jacks
workshops workshop
symptoms symptom
trades trade
winner winners
mazers mazer
earths earth
rebellion rebellions
egypt egypts
communes commune
zealanders zealander
position positions
centesimi centesimo
graham grahams
festivities festivity
thos tho
harmonica harmonicas
blackfoot blackfeet
monster monsters
wichita wichitas
tourette tourettes
evangelist evangelists
menanders menander
moroccans moroccan
widgets widget
umpires umpire
harper harpers
sudbury sudburys
theorem theorems
funeral funerals
supports support
plastics plastic
dale dales
arizona arizonas
level levels
director directors
grant grants
colorados colorado
gators gator
arms arm
corp corps
drink drinks
westminster westminsters
fillets fillet
stops stop
nicaragua nicaraguas
student students
scheme schemes
aikens aiken
ohios ohio
intake intakes
tenement tenements
genius geniuses
tract tracts
homepage homepages
oystercatchers oystercatcher
editorial editorials
towers tower
owens owen
authors author
paperback paperbacks
hymns hymn
commuter commuters
voids void
remainders remainder
lagoons lagoon
umlauts umlaut
lombard lombards
photo photos
equestrians equestrian
duelist duelists
temperaments temperament
assailant assailants
shays shay
hoopoes hoopoe
trojans trojan
kittens kitten
diet diets
astrologers astrologer
mr mrs
rocks rock
escapement escapements
handlooms handloom
homicide homicides
acres acre
gastropod gastropods
spiegels spiegel
angers anger
cannonballs cannonball
royal royals
ref refs
serial serials
lace laces
clays clay
association associations
ra ras
champions champion
isle isles
amigo amigos
hands hand
c cs
tapes tape
current currents
dix dixs
bruce bruces
tendon tendons
jems jem
presleys presley
pennsylvanias pennsylvania
coolidges coolidge
nationalist nationalists
prizes prize
websites website
farm farms
stages stage
smarts smart
combine combines
barriers barrier
dinners dinner
posters poster
octaves octave
spaceflights spaceflight
le les less
microprocessors microprocessor
pools pool
badgers badger
epochs epoch
pc pcs
dividers divider
ali alis
transformer transformers
sulcus sulci
deliveries delivery
bach bachs
promises promise
slopes slope
traffic traffics
carpets carpet
disciplines discipline
need needs
termites termite
sitas sita
eclipse eclipses
singaporeans singaporean
digits digit
vulcan vulcans
pines pine
repeat repeats
guitars guitar
missionary missionaries
radio radios
sneeze sneezes
charlotte charlottes
lublins lublin
buses bus
apartment apartments
deviation deviations
minor minors
conventicle conventicles
thais thai
fellowships fellowship
stairwells stairwell
pitches pitch
hegemony hegemonys
holidays holiday
whigs whig
hornets hornet
misdeeds misdeed
compilation compilations
discussions discussion
baums baum
cassandras cassandra
stamps stamp
unit units
norms norm
mayors mayor
skateboarders skateboarder
kernel kernels
atrophies atrophy
debut debuts
outfalls outfall
nest nests
lifts lift
pidgin pidgins
teens teen
nationals national
surgery surgeries
rabbis rabbi
weeds weed
moro moros
amphibian amphibians
recording recordings
ureter ureters
jams jam
worlds world
spell spells
trails trail
fight fights
moldovas moldova
exports export
rbc rbcs
madrids madrid
monads monad
constituency constituencies
fishes fish fishs
believers believer
congresss congress congresses
watercolours watercolour
wreath wreaths
gill gills
hydroxide hydroxides
tomb tombs
raccoon raccoons
johnstons johnston
antibiotics antibiotic
variation variations
race races
plan plans
demos demo
faculty faculties
jacket jackets
foundation foundations
doodlebugs doodlebug
readings reading
specialists specialist
step steps
songwriter songwriters
calculator calculators
philosophies philosophy
swifts swift
chronicle chronicles
pleat pleats
dewars dewar
etruscans etruscan
tarantinos tarantino
byzantines byzantine
heinlein heinleins
explosive explosives
bourne bournes
pensions pension
swedens sweden
ornithologist ornithologists
instruments instrument
administrator administrators
butler butlers
homosexuals homosexual
descriptions description
sample samples
ballets ballet
syrians syrian
rangers ranger
substrate substrates
pacifics pacific
rodents rodent
legends legend
peninsulas peninsula
ruby rubys
nyx nyxs
curlews curlew
stake stakes
providers provider
book books
clown clowns
newfoundlands newfoundland
vector vectors
edward edwards
playboy playboys
opera operas
tiger tigers
sphere spheres
paths path
skeptic skeptics
megawatts megawatt
cyclone cyclones
supernova supernovae
markets market
popes pope
derivations derivation
accidents accident
lithuanias lithuania
ehrlich ehrlichs
notions notion
extrusions extrusion
skateboard skateboards
m ms
conflict conflicts
vertebrate vertebrates
duty duties
napoleon napoleons
lots lot
ceratosaur ceratosaurs
delegations delegation
leak leaks
principals principal
vineyards vineyard
outages outage
cruises cruise
panels panel
cabin cabins
wheels wheel
receivers receiver
dairy dairies
superclass superclasses
writings writing
asimovs asimov
protocols protocol
stew stews
sniper snipers
smell smells
hound hounds
delegate delegates
discs disc
urls url
flops flop
locks lock
flights flight
cabbage cabbages
today todays
mutations mutation
sites site
operatives operative
filer filers
villa villas
resignation resignations
aleutians aleutian
colors color
tie ties
readers reader
crusades crusade
beats beat
indices indexes index
hackney hackneys
stephensons stephenson
impersonators impersonator
keys key
awards award
numerals numeral
translations translation
