old_size,old_sizeh,new_size,new_sizeh,dif,idx
11346,11.08 KB,30584,29.87 KB,19238,1262
13629,13.31 KB,54146,52.88 KB,40517,1263
12830,12.53 KB,27001,26.37 KB,14171,1264
13027,12.72 KB,30227,29.52 KB,17200,1265
43446,42.43 KB,77286,75.47 KB,33840,1266
14730,14.38 KB,47500,46.39 KB,32770,1267
11435,11.17 KB,26482,25.86 KB,15047,1268
18132,17.71 KB,28467,27.8 KB,10335,1269
20470,19.99 KB,38821,37.91 KB,18351,1270
15237,14.88 KB,32172,31.42 KB,16935,1271
13330,13.02 KB,28438,27.77 KB,15108,1272
18674,18.24 KB,34962,34.14 KB,16288,1273
15429,15.07 KB,35529,34.7 KB,20100,1274
20501,20.02 KB,40502,39.55 KB,20001,1275
14649,14.31 KB,35244,34.42 KB,20595,1276
13170,12.86 KB,29763,29.07 KB,16593,1277
35063,34.24 KB,87824,85.77 KB,52761,1278
11560,11.29 KB,106620,104.12 KB,95060,1279
9226,9.01 KB,33252,32.47 KB,24026,1280
18143,17.72 KB,41378,40.41 KB,23235,1281
37733,36.85 KB,58070,56.71 KB,20337,1282
18610,18.17 KB,39411,38.49 KB,20801,1283
10866,10.61 KB,30578,29.86 KB,19712,1284
11111,10.85 KB,23739,23.18 KB,12628,1285
12049,11.77 KB,39505,38.58 KB,27456,1286
16697,16.31 KB,93130,90.95 KB,76433,1287
16075,15.7 KB,38729,37.82 KB,22654,1288
44643,43.6 KB,80131,78.25 KB,35488,1289
24997,24.41 KB,39670,38.74 KB,14673,1290
15667,15.3 KB,29971,29.27 KB,14304,1291
17000,16.6 KB,30985,30.26 KB,13985,1292
10801,10.55 KB,56637,55.31 KB,45836,1293
16275,15.89 KB,32648,31.88 KB,16373,1294
10619,10.37 KB,27732,27.08 KB,17113,1295
19368,18.91 KB,37161,36.29 KB,17793,1296
12452,12.16 KB,61825,60.38 KB,49373,1297
14514,14.17 KB,35599,34.76 KB,21085,1298
26285,25.67 KB,53469,52.22 KB,27184,1299
14078,13.75 KB,-1,-1,-14078,1300
41946,40.96 KB,77239,75.43 KB,35293,1301
27551,26.91 KB,46265,45.18 KB,18714,1302
12769,12.47 KB,58386,57.02 KB,45617,1303
24784,24.2 KB,40892,39.93 KB,16108,1304
10894,10.64 KB,107882,105.35 KB,96988,1305
19400,18.95 KB,42128,41.14 KB,22728,1306
26558,25.94 KB,128944,125.92 KB,102386,1307
15815,15.44 KB,28538,27.87 KB,12723,1308
11314,11.05 KB,-1,-1,-11314,1309
15897,15.52 KB,68661,67.05 KB,52764,1310
43524,42.5 KB,106153,103.67 KB,62629,1311
127072,124.09 KB,156478,152.81 KB,29406,1312
17772,17.36 KB,32820,32.05 KB,15048,1313
19701,19.24 KB,34119,33.32 KB,14418,1314
24492,23.92 KB,63865,62.37 KB,39373,1315
14664,14.32 KB,33323,32.54 KB,18659,1316
10629,10.38 KB,31837,31.09 KB,21208,1317
55206,53.91 KB,75137,73.38 KB,19931,1318
15008,14.66 KB,32285,31.53 KB,17277,1319
13708,13.39 KB,42467,41.47 KB,28759,1320
50208,49.03 KB,-1,-1,-50208,1321
20920,20.43 KB,42134,41.15 KB,21214,1322
19275,18.82 KB,34387,33.58 KB,15112,1323
35111,34.29 KB,126664,123.7 KB,91553,1324
17607,17.19 KB,41307,40.34 KB,23700,1325
26814,26.19 KB,45798,44.72 KB,18984,1326
42263,41.27 KB,225907,220.61 KB,183644,1327
32564,31.8 KB,43817,42.79 KB,11253,1328
72477,70.78 KB,179227,175.03 KB,106750,1329
47292,46.18 KB,97330,95.05 KB,50038,1330
12668,12.37 KB,31589,30.85 KB,18921,1331
12353,12.06 KB,26685,26.06 KB,14332,1332
9865,9.63 KB,-1,-1,-9865,1333
33660,32.87 KB,134747,131.59 KB,101087,1334
86346,84.32 KB,134734,131.58 KB,48388,1335
10012,9.78 KB,24815,24.23 KB,14803,1336
31024,30.3 KB,50799,49.61 KB,19775,1337
11238,10.97 KB,29250,28.56 KB,18012,1338
19505,19.05 KB,43093,42.08 KB,23588,1339
30972,30.25 KB,56630,55.3 KB,25658,1340
23429,22.88 KB,124091,121.18 KB,100662,1341
9480,9.26 KB,23646,23.09 KB,14166,1342
33348,32.57 KB,50713,49.52 KB,17365,1343
20786,20.3 KB,59822,58.42 KB,39036,1344
25722,25.12 KB,63630,62.14 KB,37908,1345
17684,17.27 KB,34476,33.67 KB,16792,1346
13824,13.5 KB,28211,27.55 KB,14387,1347
12183,11.9 KB,26624,26 KB,14441,1348
22657,22.13 KB,52715,51.48 KB,30058,1349
11543,11.27 KB,30252,29.54 KB,18709,1350
13647,13.33 KB,32629,31.86 KB,18982,1351
25427,24.83 KB,43874,42.85 KB,18447,1352
13136,12.83 KB,31542,30.8 KB,18406,1353
12368,12.08 KB,61221,59.79 KB,48853,1354
22275,21.75 KB,42844,41.84 KB,20569,1355
46749,45.65 KB,26415,25.8 KB,-20334,1356
24305,23.74 KB,51488,50.28 KB,27183,1357
15582,15.22 KB,43499,42.48 KB,27917,1358
13038,12.73 KB,26371,25.75 KB,13333,1359
13479,13.16 KB,68311,66.71 KB,54832,1360
130311,127.26 KB,239383,233.77 KB,109072,1361
15200,14.84 KB,32596,31.83 KB,17396,1362
45107,44.05 KB,82158,80.23 KB,37051,1363
11102,10.84 KB,27243,26.6 KB,16141,1364
22166,21.65 KB,45481,44.42 KB,23315,1365
31117,30.39 KB,-1,-1,-31117,1366
12053,11.77 KB,32035,31.28 KB,19982,1367
37910,37.02 KB,80500,78.61 KB,42590,1368
12485,12.19 KB,33228,32.45 KB,20743,1369
15907,15.53 KB,30289,29.58 KB,14382,1370
22798,22.26 KB,102731,100.32 KB,79933,1371
22952,22.41 KB,66605,65.04 KB,43653,1372
10946,10.69 KB,29088,28.41 KB,18142,1373
17669,17.25 KB,-1,-1,-17669,1374
50281,49.1 KB,-1,-1,-50281,1375
11451,11.18 KB,29417,28.73 KB,17966,1376
15762,15.39 KB,110882,108.28 KB,95120,1377
11547,11.28 KB,50112,48.94 KB,38565,1378
26961,26.33 KB,55759,54.45 KB,28798,1379
15676,15.31 KB,43146,42.13 KB,27470,1380
26346,25.73 KB,47816,46.7 KB,21470,1381
10771,10.52 KB,28862,28.19 KB,18091,1382
30911,30.19 KB,74762,73.01 KB,43851,1383
19226,18.78 KB,50709,49.52 KB,31483,1384
13092,12.79 KB,32788,32.02 KB,19696,1385
18373,17.94 KB,37261,36.39 KB,18888,1386
38855,37.94 KB,46192,45.11 KB,7337,1387
33172,32.39 KB,44073,43.04 KB,10901,1388
9552,9.33 KB,24521,23.95 KB,14969,1389
42852,41.85 KB,119143,116.35 KB,76291,1390
15157,14.8 KB,33586,32.8 KB,18429,1391
20261,19.79 KB,28081,27.42 KB,7820,1392
10515,10.27 KB,22907,22.37 KB,12392,1393
15589,15.22 KB,36641,35.78 KB,21052,1394
16799,16.41 KB,104391,101.94 KB,87592,1395
14264,13.93 KB,79934,78.06 KB,65670,1396
56667,55.34 KB,184912,180.58 KB,128245,1397
20727,20.24 KB,46214,45.13 KB,25487,1398
72325,70.63 KB,104516,102.07 KB,32191,1399
20642,20.16 KB,37912,37.02 KB,17270,1400
11816,11.54 KB,24388,23.82 KB,12572,1401
50748,49.56 KB,43127,42.12 KB,-7621,1402
9746,9.52 KB,23226,22.68 KB,13480,1403
13613,13.29 KB,38955,38.04 KB,25342,1404
14732,14.39 KB,-1,-1,-14732,1405
48002,46.88 KB,103524,101.1 KB,55522,1406
14235,13.9 KB,-1,-1,-14235,1407
14493,14.15 KB,640255,625.25 KB,625762,1408
21055,20.56 KB,104272,101.83 KB,83217,1409
17868,17.45 KB,90699,88.57 KB,72831,1410
15353,14.99 KB,33681,32.89 KB,18328,1411
37169,36.3 KB,25625,25.02 KB,-11544,1412
12525,12.23 KB,90175,88.06 KB,77650,1413
17872,17.45 KB,37192,36.32 KB,19320,1414
28324,27.66 KB,42514,41.52 KB,14190,1415
16745,16.35 KB,44650,43.6 KB,27905,1416
10539,10.29 KB,25842,25.24 KB,15303,1417
11135,10.87 KB,25977,25.37 KB,14842,1418
13677,13.36 KB,97665,95.38 KB,83988,1419
22787,22.25 KB,39286,38.37 KB,16499,1420
63555,62.07 KB,116275,113.55 KB,52720,1421
57982,56.62 KB,49177,48.02 KB,-8805,1422
32322,31.56 KB,48905,47.76 KB,16583,1423
33166,32.39 KB,36752,35.89 KB,3586,1424
12346,12.06 KB,39420,38.5 KB,27074,1425
11354,11.09 KB,31194,30.46 KB,19840,1426
13253,12.94 KB,25516,24.92 KB,12263,1427
14606,14.26 KB,29313,28.63 KB,14707,1428
17275,16.87 KB,34301,33.5 KB,17026,1429
15507,15.14 KB,27241,26.6 KB,11734,1430
41430,40.46 KB,51602,50.39 KB,10172,1431
17391,16.98 KB,44117,43.08 KB,26726,1432
12486,12.19 KB,79282,77.42 KB,66796,1433
26056,25.45 KB,39589,38.66 KB,13533,1434
21880,21.37 KB,101249,98.88 KB,79369,1435
11699,11.42 KB,28960,28.28 KB,17261,1436
43488,42.47 KB,51652,50.44 KB,8164,1437
17873,17.45 KB,34948,34.13 KB,17075,1438
11323,11.06 KB,28885,28.21 KB,17562,1439
14352,14.02 KB,31628,30.89 KB,17276,1440
13521,13.2 KB,41511,40.54 KB,27990,1441
14779,14.43 KB,39343,38.42 KB,24564,1442
11375,11.11 KB,24998,24.41 KB,13623,1443
12483,12.19 KB,30076,29.37 KB,17593,1444
21249,20.75 KB,107369,104.85 KB,86120,1445
22184,21.66 KB,66663,65.1 KB,44479,1446
89382,87.29 KB,184829,180.5 KB,95447,1447
17643,17.23 KB,40573,39.62 KB,22930,1448
12458,12.17 KB,28859,28.18 KB,16401,1449
35398,34.57 KB,77475,75.66 KB,42077,1450
13116,12.81 KB,30314,29.6 KB,17198,1451
34636,33.82 KB,81086,79.19 KB,46450,1452
12360,12.07 KB,32680,31.91 KB,20320,1453
17059,16.66 KB,39512,38.59 KB,22453,1454
12862,12.56 KB,26577,25.95 KB,13715,1455
65468,63.93 KB,55795,54.49 KB,-9673,1456
39103,38.19 KB,60763,59.34 KB,21660,1457
15755,15.39 KB,56036,54.72 KB,40281,1458
10093,9.86 KB,32163,31.41 KB,22070,1459
32539,31.78 KB,73298,71.58 KB,40759,1460
14210,13.88 KB,36051,35.21 KB,21841,1461
21789,21.28 KB,110153,107.57 KB,88364,1462
14546,14.21 KB,40209,39.27 KB,25663,1463
12437,12.15 KB,26291,25.67 KB,13854,1464
52837,51.6 KB,67978,66.38 KB,15141,1465
15907,15.53 KB,41025,40.06 KB,25118,1466
23539,22.99 KB,23397,22.85 KB,-142,1467
11366,11.1 KB,56300,54.98 KB,44934,1468
19113,18.67 KB,85445,83.44 KB,66332,1469
23902,23.34 KB,43597,42.58 KB,19695,1470
10822,10.57 KB,276347,269.87 KB,265525,1471
53770,52.51 KB,75778,74 KB,22008,1472
12029,11.75 KB,38667,37.76 KB,26638,1473
13801,13.48 KB,28861,28.18 KB,15060,1474
17427,17.02 KB,38592,37.69 KB,21165,1475
34822,34.01 KB,137837,134.61 KB,103015,1476
17024,16.62 KB,77040,75.23 KB,60016,1477
12771,12.47 KB,28178,27.52 KB,15407,1478
12577,12.28 KB,26079,25.47 KB,13502,1479
28072,27.41 KB,50647,49.46 KB,22575,1480
13998,13.67 KB,29107,28.42 KB,15109,1481
23849,23.29 KB,45326,44.26 KB,21477,1482
40466,39.52 KB,79724,77.86 KB,39258,1483
9274,9.06 KB,28823,28.15 KB,19549,1484
31782,31.04 KB,24958,24.37 KB,-6824,1485
14490,14.15 KB,62424,60.96 KB,47934,1486
29597,28.9 KB,43151,42.14 KB,13554,1487
12789,12.49 KB,69729,68.09 KB,56940,1488
13143,12.83 KB,133210,130.09 KB,120067,1489
51735,50.52 KB,66663,65.1 KB,14928,1490
24758,24.18 KB,48290,47.16 KB,23532,1491
42309,41.32 KB,64540,63.03 KB,22231,1492
25219,24.63 KB,89832,87.73 KB,64613,1493
11747,11.47 KB,32397,31.64 KB,20650,1494
28602,27.93 KB,47347,46.24 KB,18745,1495
13346,13.03 KB,26769,26.14 KB,13423,1496
13536,13.22 KB,80238,78.36 KB,66702,1497
32552,31.79 KB,-1,-1,-32552,1498
17357,16.95 KB,36184,35.34 KB,18827,1499
31126,30.4 KB,45588,44.52 KB,14462,1500
11910,11.63 KB,29790,29.09 KB,17880,1501
20131,19.66 KB,310924,303.64 KB,290793,1502
12588,12.29 KB,28126,27.47 KB,15538,1503
14587,14.25 KB,-1,-1,-14587,1504
41720,40.74 KB,64407,62.9 KB,22687,1505
9116,8.9 KB,22810,22.28 KB,13694,1506
25444,24.85 KB,35626,34.79 KB,10182,1507
71625,69.95 KB,23108,22.57 KB,-48517,1508
23366,22.82 KB,42473,41.48 KB,19107,1509
11170,10.91 KB,24103,23.54 KB,12933,1510
26548,25.93 KB,71447,69.77 KB,44899,1511
13869,13.54 KB,36971,36.1 KB,23102,1512
39735,38.8 KB,86891,84.85 KB,47156,1513
186476,182.11 KB,212026,207.06 KB,25550,1514
14748,14.4 KB,55791,54.48 KB,41043,1515
19903,19.44 KB,38021,37.13 KB,18118,1516
10745,10.49 KB,26077,25.47 KB,15332,1517
13487,13.17 KB,27381,26.74 KB,13894,1518
25475,24.88 KB,26518,25.9 KB,1043,1519
21611,21.1 KB,50039,48.87 KB,28428,1520
23692,23.14 KB,50535,49.35 KB,26843,1521
21369,20.87 KB,62564,61.1 KB,41195,1522
14000,13.67 KB,34311,33.51 KB,20311,1523
14784,14.44 KB,36584,35.73 KB,21800,1524
9874,9.64 KB,23912,23.35 KB,14038,1525
8875,8.67 KB,23305,22.76 KB,14430,1526
12116,11.83 KB,40637,39.68 KB,28521,1527
71767,70.08 KB,95122,92.89 KB,23355,1528
22374,21.85 KB,54829,53.54 KB,32455,1529
14039,13.71 KB,47907,46.78 KB,33868,1530
18734,18.29 KB,34145,33.34 KB,15411,1531
57264,55.92 KB,104281,101.84 KB,47017,1532
15560,15.2 KB,44900,43.85 KB,29340,1533
14382,14.04 KB,40836,39.88 KB,26454,1534
20946,20.46 KB,119030,116.24 KB,98084,1535
20401,19.92 KB,37111,36.24 KB,16710,1536
20727,20.24 KB,115284,112.58 KB,94557,1537
36680,35.82 KB,48714,47.57 KB,12034,1538
9982,9.75 KB,29780,29.08 KB,19798,1539
19586,19.13 KB,149935,146.42 KB,130349,1540
19403,18.95 KB,40456,39.51 KB,21053,1541
24825,24.24 KB,112446,109.81 KB,87621,1542
11897,11.62 KB,30811,30.09 KB,18914,1543
19313,18.86 KB,82235,80.31 KB,62922,1544
17162,16.76 KB,38446,37.54 KB,21284,1545
21730,21.22 KB,36339,35.49 KB,14609,1546
17419,17.01 KB,45573,44.5 KB,28154,1547
17083,16.68 KB,41213,40.25 KB,24130,1548
16982,16.58 KB,42738,41.74 KB,25756,1549
11310,11.04 KB,39627,38.7 KB,28317,1550
11528,11.26 KB,65482,63.95 KB,53954,1551
9805,9.58 KB,23220,22.68 KB,13415,1552
15084,14.73 KB,-1,-1,-15084,1553
18987,18.54 KB,47218,46.11 KB,28231,1554
12183,11.9 KB,35179,34.35 KB,22996,1555
24268,23.7 KB,47237,46.13 KB,22969,1556
40856,39.9 KB,46782,45.69 KB,5926,1557
46452,45.36 KB,157141,153.46 KB,110689,1558
12325,12.04 KB,93818,91.62 KB,81493,1559
31516,30.78 KB,63727,62.23 KB,32211,1560
35610,34.78 KB,47520,46.41 KB,11910,1561
120741,117.91 KB,107932,105.4 KB,-12809,1562
13492,13.18 KB,33711,32.92 KB,20219,1563
19407,18.95 KB,40785,39.83 KB,21378,1564
30521,29.81 KB,74849,73.09 KB,44328,1565
11911,11.63 KB,26305,25.69 KB,14394,1566
18548,18.11 KB,40091,39.15 KB,21543,1567
11733,11.46 KB,29944,29.24 KB,18211,1568
18705,18.27 KB,49886,48.72 KB,31181,1569
19215,18.76 KB,77604,75.79 KB,58389,1570
23746,23.19 KB,40628,39.68 KB,16882,1571
12797,12.5 KB,40394,39.45 KB,27597,1572
15777,15.41 KB,39998,39.06 KB,24221,1573
21852,21.34 KB,37849,36.96 KB,15997,1574
10473,10.23 KB,23072,22.53 KB,12599,1575
33816,33.02 KB,62575,61.11 KB,28759,1576
29338,28.65 KB,56238,54.92 KB,26900,1577
12158,11.87 KB,65074,63.55 KB,52916,1578
14712,14.37 KB,69297,67.67 KB,54585,1579
12440,12.15 KB,35569,34.74 KB,23129,1580
36129,35.28 KB,116163,113.44 KB,80034,1581
26575,25.95 KB,-1,-1,-26575,1582
21562,21.06 KB,44277,43.24 KB,22715,1583
14791,14.44 KB,48290,47.16 KB,33499,1584
35371,34.54 KB,43904,42.88 KB,8533,1585
39263,38.34 KB,-1,-1,-39263,1586
19180,18.73 KB,73915,72.18 KB,54735,1587
12373,12.08 KB,61115,59.68 KB,48742,1588
13336,13.02 KB,43938,42.91 KB,30602,1589
19813,19.35 KB,65628,64.09 KB,45815,1590
9462,9.24 KB,22419,21.89 KB,12957,1591
27366,26.72 KB,262862,256.7 KB,235496,1592
69339,67.71 KB,127865,124.87 KB,58526,1593
135252,132.08 KB,215265,210.22 KB,80013,1594
26083,25.47 KB,39221,38.3 KB,13138,1595
15077,14.72 KB,54290,53.02 KB,39213,1596
25210,24.62 KB,41091,40.13 KB,15881,1597
25376,24.78 KB,50379,49.2 KB,25003,1598
81526,79.62 KB,109923,107.35 KB,28397,1599
15382,15.02 KB,54695,53.41 KB,39313,1600
75184,73.42 KB,746093,728.61 KB,670909,1601
10445,10.2 KB,31905,31.16 KB,21460,1602
10387,10.14 KB,24399,23.83 KB,14012,1603
12854,12.55 KB,39063,38.15 KB,26209,1604
37799,36.91 KB,70430,68.78 KB,32631,1605
15222,14.87 KB,31465,30.73 KB,16243,1606
9583,9.36 KB,92927,90.75 KB,83344,1607
13725,13.4 KB,30447,29.73 KB,16722,1608
15131,14.78 KB,49360,48.2 KB,34229,1609
13554,13.24 KB,32599,31.83 KB,19045,1610
17393,16.99 KB,33437,32.65 KB,16044,1611
11637,11.36 KB,58655,57.28 KB,47018,1612
14641,14.3 KB,-1,-1,-14641,1613
19169,18.72 KB,37832,36.95 KB,18663,1614
44966,43.91 KB,61663,60.22 KB,16697,1615
15503,15.14 KB,37476,36.6 KB,21973,1616
56392,55.07 KB,71454,69.78 KB,15062,1617
17325,16.92 KB,30437,29.72 KB,13112,1618
11675,11.4 KB,29295,28.61 KB,17620,1619
30075,29.37 KB,59587,58.19 KB,29512,1620
20305,19.83 KB,30575,29.86 KB,10270,1621
19773,19.31 KB,73470,71.75 KB,53697,1622
11638,11.37 KB,56783,55.45 KB,45145,1623
15255,14.9 KB,37343,36.47 KB,22088,1624
9982,9.75 KB,23177,22.63 KB,13195,1625
143827,140.46 KB,173145,169.09 KB,29318,1626
22445,21.92 KB,31141,30.41 KB,8696,1627
8162,7.97 KB,27436,26.79 KB,19274,1628
107914,105.38 KB,104125,101.68 KB,-3789,1629
34783,33.97 KB,102437,100.04 KB,67654,1630
16248,15.87 KB,29162,28.48 KB,12914,1631
17488,17.08 KB,-1,-1,-17488,1632
12510,12.22 KB,25393,24.8 KB,12883,1633
21250,20.75 KB,54048,52.78 KB,32798,1634
29116,28.43 KB,41673,40.7 KB,12557,1635
21917,21.4 KB,46679,45.58 KB,24762,1636
25677,25.08 KB,65248,63.72 KB,39571,1637
10132,9.89 KB,142559,139.22 KB,132427,1638
16926,16.53 KB,30732,30.01 KB,13806,1639
13727,13.41 KB,60550,59.13 KB,46823,1640
9444,9.22 KB,47814,46.69 KB,38370,1641
11391,11.12 KB,24740,24.16 KB,13349,1642
13197,12.89 KB,53666,52.41 KB,40469,1643
14388,14.05 KB,30514,29.8 KB,16126,1644
12879,12.58 KB,33063,32.29 KB,20184,1645
13008,12.7 KB,30376,29.66 KB,17368,1646
19568,19.11 KB,56642,55.31 KB,37074,1647
35030,34.21 KB,66402,64.85 KB,31372,1648
50857,49.67 KB,90356,88.24 KB,39499,1649
20192,19.72 KB,56665,55.34 KB,36473,1650
9698,9.47 KB,23479,22.93 KB,13781,1651
30792,30.07 KB,68118,66.52 KB,37326,1652
11657,11.38 KB,35612,34.78 KB,23955,1653
14042,13.71 KB,49718,48.55 KB,35676,1654
23629,23.08 KB,42411,41.42 KB,18782,1655
25771,25.17 KB,44121,43.09 KB,18350,1656
21350,20.85 KB,42683,41.68 KB,21333,1657
14196,13.86 KB,32094,31.34 KB,17898,1658
25757,25.15 KB,50918,49.72 KB,25161,1659
9788,9.56 KB,27483,26.84 KB,17695,1660
41372,40.4 KB,58240,56.88 KB,16868,1661
20154,19.68 KB,30823,30.1 KB,10669,1662
21380,20.88 KB,48894,47.75 KB,27514,1663
12717,12.42 KB,27060,26.43 KB,14343,1664
10235,10 KB,63465,61.98 KB,53230,1665
12433,12.14 KB,30434,29.72 KB,18001,1666
18728,18.29 KB,120146,117.33 KB,101418,1667
18235,17.81 KB,45184,44.12 KB,26949,1668
25425,24.83 KB,34039,33.24 KB,8614,1669
27858,27.21 KB,68135,66.54 KB,40277,1670
13396,13.08 KB,29447,28.76 KB,16051,1671
35504,34.67 KB,56474,55.15 KB,20970,1672
11273,11.01 KB,53053,51.81 KB,41780,1673
39541,38.61 KB,73385,71.67 KB,33844,1674
18335,17.91 KB,51697,50.49 KB,33362,1675
14079,13.75 KB,46831,45.73 KB,32752,1676
17241,16.84 KB,37867,36.98 KB,20626,1677
27902,27.25 KB,54058,52.79 KB,26156,1678
14779,14.43 KB,46076,45 KB,31297,1679
15873,15.5 KB,102788,100.38 KB,86915,1680
9585,9.36 KB,30991,30.26 KB,21406,1681
71169,69.5 KB,85546,83.54 KB,14377,1682
11433,11.17 KB,25596,25 KB,14163,1683
15469,15.11 KB,40332,39.39 KB,24863,1684
11055,10.8 KB,31619,30.88 KB,20564,1685
18028,17.61 KB,78706,76.86 KB,60678,1686
10439,10.19 KB,24412,23.84 KB,13973,1687
40942,39.98 KB,160201,156.45 KB,119259,1688
16163,15.78 KB,29969,29.27 KB,13806,1689
43407,42.39 KB,90954,88.82 KB,47547,1690
10838,10.58 KB,31561,30.82 KB,20723,1691
44457,43.42 KB,95077,92.85 KB,50620,1692
30283,29.57 KB,41045,40.08 KB,10762,1693
12521,12.23 KB,28211,27.55 KB,15690,1694
22650,22.12 KB,142625,139.28 KB,119975,1695
12114,11.83 KB,64675,63.16 KB,52561,1696
14592,14.25 KB,30998,30.27 KB,16406,1697
16134,15.76 KB,40043,39.1 KB,23909,1698
23853,23.29 KB,93918,91.72 KB,70065,1699
14412,14.07 KB,522248,510.01 KB,507836,1700
23516,22.96 KB,130729,127.67 KB,107213,1701
51931,50.71 KB,61914,60.46 KB,9983,1702
11106,10.85 KB,28611,27.94 KB,17505,1703
57434,56.09 KB,107175,104.66 KB,49741,1704
23804,23.25 KB,49133,47.98 KB,25329,1705
31864,31.12 KB,43032,42.02 KB,11168,1706
28754,28.08 KB,48046,46.92 KB,19292,1707
29395,28.71 KB,81308,79.4 KB,51913,1708
24822,24.24 KB,56698,55.37 KB,31876,1709
16801,16.41 KB,34505,33.7 KB,17704,1710
21616,21.11 KB,22326,21.8 KB,710,1711
22176,21.66 KB,118838,116.05 KB,96662,1712
44640,43.59 KB,58511,57.14 KB,13871,1713
16105,15.73 KB,40308,39.36 KB,24203,1714
14997,14.65 KB,33155,32.38 KB,18158,1715
13959,13.63 KB,29597,28.9 KB,15638,1716
18822,18.38 KB,63801,62.31 KB,44979,1717
9221,9 KB,-1,-1,-9221,1718
47055,45.95 KB,88719,86.64 KB,41664,1719
21124,20.63 KB,87367,85.32 KB,66243,1720
15359,15 KB,30588,29.87 KB,15229,1721
13677,13.36 KB,27377,26.74 KB,13700,1722
9075,8.86 KB,39425,38.5 KB,30350,1723
11786,11.51 KB,64023,62.52 KB,52237,1724
22795,22.26 KB,42951,41.94 KB,20156,1725
12858,12.56 KB,27222,26.58 KB,14364,1726
16044,15.67 KB,-1,-1,-16044,1727
19048,18.6 KB,25556,24.96 KB,6508,1728
11790,11.51 KB,24599,24.02 KB,12809,1729
17776,17.36 KB,66736,65.17 KB,48960,1730
18317,17.89 KB,30938,30.21 KB,12621,1731
20747,20.26 KB,23464,22.91 KB,2717,1732
16898,16.5 KB,28965,28.29 KB,12067,1733
65993,64.45 KB,72930,71.22 KB,6937,1734
13771,13.45 KB,28408,27.74 KB,14637,1735
27637,26.99 KB,36103,35.26 KB,8466,1736
17266,16.86 KB,33685,32.9 KB,16419,1737
41155,40.19 KB,130837,127.77 KB,89682,1738
14478,14.14 KB,32165,31.41 KB,17687,1739
34725,33.91 KB,96661,94.4 KB,61936,1740
70560,68.91 KB,122530,119.66 KB,51970,1741
17305,16.9 KB,47979,46.85 KB,30674,1742
13265,12.95 KB,32814,32.04 KB,19549,1743
33312,32.53 KB,79190,77.33 KB,45878,1744
11214,10.95 KB,26514,25.89 KB,15300,1745
40670,39.72 KB,70821,69.16 KB,30151,1746
14320,13.98 KB,29860,29.16 KB,15540,1747
11319,11.05 KB,26089,25.48 KB,14770,1748
63637,62.15 KB,105653,103.18 KB,42016,1749
36224,35.38 KB,-1,-1,-36224,1750
21416,20.91 KB,97544,95.26 KB,76128,1751
14724,14.38 KB,30529,29.81 KB,15805,1752
30339,29.63 KB,80730,78.84 KB,50391,1753
18898,18.46 KB,57526,56.18 KB,38628,1754
66634,65.07 KB,121705,118.85 KB,55071,1755
17999,17.58 KB,35532,34.7 KB,17533,1756
11779,11.5 KB,41777,40.8 KB,29998,1757
12064,11.78 KB,30678,29.96 KB,18614,1758
14771,14.42 KB,32643,31.88 KB,17872,1759
26064,25.45 KB,50160,48.98 KB,24096,1760
40551,39.6 KB,64092,62.59 KB,23541,1761
26681,26.06 KB,47110,46.01 KB,20429,1762
10659,10.41 KB,22734,22.2 KB,12075,1763
17661,17.25 KB,47310,46.2 KB,29649,1764
16746,16.35 KB,32681,31.92 KB,15935,1765
13014,12.71 KB,27304,26.66 KB,14290,1766
23725,23.17 KB,32437,31.68 KB,8712,1767
17718,17.3 KB,29819,29.12 KB,12101,1768
71150,69.48 KB,126542,123.58 KB,55392,1769
20105,19.63 KB,47070,45.97 KB,26965,1770
23217,22.67 KB,47277,46.17 KB,24060,1771
53024,51.78 KB,65387,63.85 KB,12363,1772
36927,36.06 KB,64336,62.83 KB,27409,1773
16815,16.42 KB,44333,43.29 KB,27518,1774
16086,15.71 KB,180919,176.68 KB,164833,1775
64906,63.38 KB,134789,131.63 KB,69883,1776
74509,72.76 KB,-1,-1,-74509,1777
12593,12.3 KB,30024,29.32 KB,17431,1778
14165,13.83 KB,25045,24.46 KB,10880,1779
27257,26.62 KB,103729,101.3 KB,76472,1780
13030,12.72 KB,-1,-1,-13030,1781
16061,15.68 KB,32790,32.02 KB,16729,1782
50158,48.98 KB,116790,114.05 KB,66632,1783
11796,11.52 KB,77087,75.28 KB,65291,1784
12647,12.35 KB,112742,110.1 KB,100095,1785
12118,11.83 KB,55128,53.84 KB,43010,1786
16222,15.84 KB,33660,32.87 KB,17438,1787
9498,9.28 KB,23528,22.98 KB,14030,1788
20304,19.83 KB,33132,32.36 KB,12828,1789
9068,8.86 KB,22228,21.71 KB,13160,1790
26606,25.98 KB,40069,39.13 KB,13463,1791
14622,14.28 KB,36925,36.06 KB,22303,1792
12225,11.94 KB,38931,38.02 KB,26706,1793
8898,8.69 KB,24450,23.88 KB,15552,1794
15774,15.4 KB,38831,37.92 KB,23057,1795
13305,12.99 KB,27741,27.09 KB,14436,1796
14132,13.8 KB,22446,21.92 KB,8314,1797
10969,10.71 KB,27367,26.73 KB,16398,1798
10399,10.16 KB,29255,28.57 KB,18856,1799
10300,10.06 KB,-1,-1,-10300,1800
11958,11.68 KB,-1,-1,-11958,1801
