old_size,old_sizeh,new_size,new_sizeh,dif,idx
19366,18.91 KB,90835,88.71 KB,71469,127
42300,41.31 KB,62598,61.13 KB,20298,128
13750,13.43 KB,33703,32.91 KB,19953,129
14435,14.1 KB,63293,61.81 KB,48858,130
27124,26.49 KB,72631,70.93 KB,45507,131
9246,9.03 KB,22658,22.13 KB,13412,132
15988,15.61 KB,39858,38.92 KB,23870,133
13667,13.35 KB,644278,629.18 KB,630611,134
30331,29.62 KB,66542,64.98 KB,36211,135
47801,46.68 KB,74197,72.46 KB,26396,136
10026,9.79 KB,32045,31.29 KB,22019,137
123978,121.07 KB,114938,112.24 KB,-9040,138
47959,46.83 KB,132010,128.92 KB,84051,139
12929,12.63 KB,86944,84.91 KB,74015,140
14306,13.97 KB,29757,29.06 KB,15451,141
40093,39.15 KB,46583,45.49 KB,6490,142
13207,12.9 KB,43189,42.18 KB,29982,143
12970,12.67 KB,40347,39.4 KB,27377,144
64780,63.26 KB,83643,81.68 KB,18863,145
11915,11.64 KB,25969,25.36 KB,14054,146
14439,14.1 KB,37142,36.27 KB,22703,147
156756,153.08 KB,155658,152.01 KB,-1098,148
15210,14.85 KB,52470,51.24 KB,37260,149
24625,24.05 KB,60671,59.25 KB,36046,150
23218,22.67 KB,-1,-1,-23218,151
10784,10.53 KB,40826,39.87 KB,30042,152
63266,61.78 KB,97931,95.64 KB,34665,153
19482,19.03 KB,41298,40.33 KB,21816,154
18638,18.2 KB,65795,64.25 KB,47157,155
21510,21.01 KB,41522,40.55 KB,20012,156
25373,24.78 KB,60395,58.98 KB,35022,157
10731,10.48 KB,32027,31.28 KB,21296,158
19040,18.59 KB,62716,61.25 KB,43676,159
16753,16.36 KB,32592,31.83 KB,15839,160
41186,40.22 KB,78701,76.86 KB,37515,161
20080,19.61 KB,37277,36.4 KB,17197,162
22062,21.54 KB,38526,37.62 KB,16464,163
12512,12.22 KB,22084,21.57 KB,9572,164
19441,18.99 KB,42109,41.12 KB,22668,165
17994,17.57 KB,42529,41.53 KB,24535,166
12733,12.43 KB,34011,33.21 KB,21278,167
14643,14.3 KB,44951,43.9 KB,30308,168
42797,41.79 KB,62538,61.07 KB,19741,169
16247,15.87 KB,36372,35.52 KB,20125,170
11625,11.35 KB,77718,75.9 KB,66093,171
155347,151.71 KB,429064,419.01 KB,273717,172
12638,12.34 KB,22623,22.09 KB,9985,173
27896,27.24 KB,66113,64.56 KB,38217,174
24947,24.36 KB,45786,44.71 KB,20839,175
28209,27.55 KB,76504,74.71 KB,48295,176
41636,40.66 KB,59238,57.85 KB,17602,177
11867,11.59 KB,30313,29.6 KB,18446,178
33798,33.01 KB,53615,52.36 KB,19817,179
12579,12.28 KB,120837,118 KB,108258,180
12716,12.42 KB,23403,22.85 KB,10687,181
40004,39.07 KB,142439,139.1 KB,102435,182
28839,28.16 KB,63241,61.76 KB,34402,183
13973,13.65 KB,34785,33.97 KB,20812,184
17519,17.11 KB,35462,34.63 KB,17943,185
30021,29.32 KB,49075,47.92 KB,19054,186
31423,30.69 KB,148941,145.45 KB,117518,187
58349,56.98 KB,125692,122.75 KB,67343,188
65267,63.74 KB,101309,98.93 KB,36042,189
22031,21.51 KB,-1,-1,-22031,190
24675,24.1 KB,400138,390.76 KB,375463,191
9203,8.99 KB,-1,-1,-9203,192
12054,11.77 KB,85458,83.46 KB,73404,193
51395,50.19 KB,184106,179.79 KB,132711,194
73241,71.52 KB,35341,34.51 KB,-37900,195
11019,10.76 KB,42168,41.18 KB,31149,196
13248,12.94 KB,44716,43.67 KB,31468,197
13233,12.92 KB,53888,52.62 KB,40655,198
37255,36.38 KB,59694,58.29 KB,22439,199
13949,13.62 KB,35037,34.22 KB,21088,200
39853,38.92 KB,128423,125.41 KB,88570,201
16305,15.92 KB,47895,46.77 KB,31590,202
14658,14.31 KB,620499,605.96 KB,605841,203
57869,56.51 KB,128798,125.78 KB,70929,204
21880,21.37 KB,-1,-1,-21880,205
14560,14.22 KB,25305,24.71 KB,10745,206
49572,48.41 KB,140577,137.28 KB,91005,207
14538,14.2 KB,222522,217.31 KB,207984,208
