wc,vc
1750,738
1752,739
1755,740
1756,741
1757,742
1759,743
1760,744
1767,745
1775,746
1776,747
1779,748
1782,749
1783,750
1786,751
1787,752
1788,753
1792,754
1796,755
1797,756
1800,757
1802,758
1805,759
1807,760
1809,761
1810,762
1815,763
1817,764
1818,765
1819,766
1820,767
1821,768
1823,769
1824,770
1825,771
1827,772
1832,773
1834,774
1836,775
1838,776
1841,777
1843,778
1846,779
1848,780
1855,781
1856,782
1858,783
1864,784
1865,785
1866,786
1867,787
1868,788
1869,789
1870,790
1872,791
1873,792
1875,793
1876,794
1878,795
1879,796
1881,797
1882,798
1883,799
1885,800
1886,801
1889,802
1891,803
1892,804
1894,805
1895,806
1897,807
1898,808
1899,809
1900,810
1901,811
1909,812
1910,813
1911,814
1912,815
1913,816
1914,817
1915,818
1916,819
1917,820
1918,821
1919,822
1920,823
1921,824
1922,825
1923,826
1924,827
1925,828
1926,829
1927,830
1928,831
1929,832
1930,833
1932,834
1933,835
1934,836
1936,837
1937,838
1938,839
1939,840
1942,841
1943,842
1945,843
1946,844
1948,845
1949,846
1951,847
1952,848
1953,849
1954,850
1955,851
1956,852
1957,853
1958,854
1959,855
1960,856
1961,857
1962,858
1965,859
1966,860
1967,861
1968,862
1969,863
1970,864
1971,865
1972,866
1973,867
1974,868
1975,869
1977,870
1978,871
1979,872
1982,873
1983,874
1984,875
1985,876
1986,877
1987,878
1988,879
1989,880
1992,881
1993,882
1994,883
1995,884
1997,885
1998,886
1999,887
2000,888
2001,889
2003,890
2004,891
2005,892
2008,893
2009,894
2010,895
2011,896
2013,897
2014,898
2015,899
2018,900
2019,901
2020,902
2023,903
2025,904
2026,905
2027,906
2028,907
2031,908
2032,909
2033,910
2036,911
2039,912
2051,913
2062,914
2095,915
2096,916
2109,917
2116,918
2117,919
2118,920
2120,921
2121,922
2122,923
2123,924
2124,925
2126,926
2127,927
2128,928
2129,929
2130,930
2131,931
2133,932
2174,933
2175,934
2211,935
2213,936
2214,937
2215,938
2216,939
2218,940
2220,941
2224,942
2225,943
2226,944
2227,945
2229,946
2230,947
2233,948
2234,949
2235,950
2237,951
2238,952
2239,953
2242,954
2244,955
2245,956
2248,957
2249,958
2267,959
2268,960
2269,961
2271,962
2272,963
2273,964
2275,965
2279,966
2281,967
2283,968
2284,969
2288,970
