q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
11,0.60627,10.00000,0.52632,19.00000,0.50000,0.83042,0.52632,0.65621,20.00000,10.00000,0.60627,0.50000,0.74212,0.50000,0.50000,0.60627,0.70000,0.60627,0.50000,0.80000,0.60627,0.60627,0.50000,0.50000,0.39355,0.52632,1.00000,0.60627
12,0.55315,2.00000,0.40000,5.00000,0.10000,0.55315,0.40000,2.00000,20.00000,18.00000,0.55315,0.10000,0.55315,0.10000,0.10000,0.55315,0.20000,0.55315,0.10000,0.40000,0.55315,0.55315,0.10000,0.10000,0.40000,0.40000,1.00000,0.55315
13,0.44396,4.00000,0.18182,11.00000,0.20000,0.55315,0.36364,1.05660,20.00000,16.00000,0.44396,0.20000,0.35895,0.20000,0.20000,0.44396,0.20000,0.44396,0.20000,0.40000,0.44396,0.44396,0.20000,0.20000,0.22594,0.36364,1.00000,0.44396
14,0.04506,2.00000,0.00000,44.00000,0.10000,0.00000,0.04545,0.26909,20.00000,18.00000,0.04506,0.10000,0.00000,0.10000,0.10000,0.04506,0.00000,0.05817,0.10000,0.00000,0.04506,0.07569,0.10000,0.10000,0.00539,0.04545,0.08333,0.04506
15,0.24612,3.00000,0.10000,10.00000,0.15000,0.21399,0.30000,1.14173,20.00000,17.00000,0.24612,0.15000,0.13886,0.15000,0.15000,0.24612,0.10000,0.24612,0.15000,0.20000,0.24612,0.24612,0.15000,0.15000,0.08008,0.30000,0.50000,0.24612
16,0.04259,1.00000,0.05882,17.00000,0.05000,0.00000,0.05882,0.64216,20.00000,19.00000,0.04259,0.05000,0.00000,0.05000,0.05000,0.04259,0.00000,0.04259,0.05000,0.00000,0.04259,0.04259,0.05000,0.05000,0.00490,0.05882,0.08333,0.04259
17,0.26546,4.00000,0.25000,16.00000,0.20000,0.36005,0.25000,0.68229,20.00000,16.00000,0.26546,0.20000,0.29727,0.20000,0.20000,0.26546,0.30000,0.26546,0.20000,0.40000,0.26546,0.26546,0.20000,0.20000,0.10208,0.25000,0.50000,0.26546
18,0.15814,2.00000,0.09091,11.00000,0.10000,0.16958,0.18182,0.98601,20.00000,18.00000,0.15814,0.10000,0.11005,0.10000,0.10000,0.15814,0.10000,0.15814,0.10000,0.20000,0.15814,0.15814,0.10000,0.10000,0.04429,0.18182,0.33333,0.15814
19,0.54969,5.00000,0.45455,11.00000,0.25000,0.78601,0.45455,0.90909,20.00000,15.00000,0.54969,0.25000,0.58343,0.25000,0.25000,0.54969,0.50000,0.54969,0.25000,0.80000,0.54969,0.54969,0.25000,0.25000,0.35736,0.45455,1.00000,0.54969
20,1.00000,3.00000,1.00000,3.00000,0.15000,1.00000,1.00000,3.33333,20.00000,17.00000,1.00000,0.15000,1.00000,0.15000,0.15000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.15000,0.15000,1.00000,1.00000,1.00000,1.00000
21,0.44221,4.00000,0.18182,11.00000,0.20000,0.55315,0.36364,1.04984,20.00000,16.00000,0.44221,0.20000,0.35895,0.20000,0.20000,0.44221,0.20000,0.44221,0.20000,0.40000,0.44221,0.44221,0.20000,0.20000,0.22368,0.36364,1.00000,0.44221
22,0.75974,13.00000,0.70588,17.00000,0.65000,0.78601,0.76471,0.91617,20.00000,7.00000,0.75974,0.65000,0.72545,0.65000,0.65000,0.75974,0.70000,0.75974,0.65000,0.80000,0.75974,0.75974,0.65000,0.65000,0.58319,0.76471,1.00000,0.75974
23,0.93441,4.00000,0.75000,4.00000,0.20000,0.83187,1.00000,2.71154,20.00000,16.00000,0.93441,0.20000,0.83187,0.20000,0.20000,0.93441,0.30000,0.93441,0.20000,0.60000,0.93441,0.93441,0.20000,0.20000,0.82692,1.00000,1.00000,0.93441
24,0.23452,2.00000,0.07692,13.00000,0.10000,0.33916,0.15385,0.82967,20.00000,18.00000,0.23452,0.10000,0.22009,0.10000,0.10000,0.23452,0.10000,0.23452,0.10000,0.20000,0.23452,0.23452,0.10000,0.10000,0.08791,0.15385,1.00000,0.23452
25,0.24540,8.00000,0.00000,51.00000,0.40000,0.63995,0.15686,0.23949,20.00000,12.00000,0.24540,0.40000,0.54516,0.40000,0.40000,0.24540,0.50000,0.35017,0.40000,0.60000,0.24540,0.45568,0.40000,0.40000,0.08815,0.15686,1.00000,0.24540
26,0.19166,5.00000,0.00000,30.00000,0.25000,0.21399,0.16667,0.39524,20.00000,15.00000,0.19166,0.25000,0.26874,0.25000,0.25000,0.19166,0.30000,0.19166,0.25000,0.20000,0.19166,0.24941,0.25000,0.25000,0.05810,0.16667,0.50000,0.19166
27,0.36361,8.00000,0.00000,29.00000,0.40000,0.65481,0.27586,0.45675,20.00000,12.00000,0.36361,0.40000,0.49829,0.40000,0.40000,0.36361,0.40000,0.36361,0.40000,0.60000,0.36361,0.46274,0.40000,0.40000,0.16060,0.27586,1.00000,0.36361
28,0.83042,4.00000,0.80000,5.00000,0.20000,0.83042,0.80000,2.00000,20.00000,16.00000,0.83042,0.20000,0.83042,0.20000,0.20000,0.83042,0.40000,0.83042,0.20000,0.80000,0.83042,0.83042,0.20000,0.20000,0.71000,0.80000,1.00000,0.83042
29,0.18856,5.00000,0.21053,19.00000,0.25000,0.00000,0.26316,0.68457,20.00000,15.00000,0.18856,0.25000,0.06943,0.25000,0.25000,0.18856,0.10000,0.18856,0.25000,0.00000,0.18856,0.18856,0.25000,0.25000,0.04888,0.26316,0.12500,0.18856
30,0.34622,2.00000,0.25000,4.00000,0.10000,0.24630,0.50000,2.69643,20.00000,18.00000,0.34622,0.10000,0.24630,0.10000,0.10000,0.34622,0.10000,0.34622,0.10000,0.20000,0.34622,0.34622,0.10000,0.10000,0.16071,0.50000,0.50000,0.34622
31,0.61315,1.00000,0.50000,2.00000,0.05000,0.61315,0.50000,5.00000,20.00000,19.00000,0.61315,0.05000,0.61315,0.05000,0.05000,0.61315,0.10000,0.61315,0.05000,0.20000,0.61315,0.61315,0.05000,0.05000,0.50000,0.50000,1.00000,0.61315
32,0.67139,2.00000,0.33333,3.00000,0.10000,0.67139,0.66667,3.33333,20.00000,18.00000,0.67139,0.10000,0.67139,0.10000,0.10000,0.67139,0.20000,0.67139,0.10000,0.40000,0.67139,0.67139,0.10000,0.10000,0.50000,0.66667,1.00000,0.67139
33,0.27894,1.00000,0.00000,1.00000,0.05000,0.00000,1.00000,11.00000,20.00000,19.00000,0.27894,0.05000,0.00000,0.05000,0.05000,0.27894,0.00000,0.27894,0.05000,0.00000,0.27894,0.27894,0.05000,0.05000,0.09091,1.00000,0.09091,0.27894
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.35161,8.00000,0.40000,20.00000,0.40000,0.30079,0.40000,0.70513,20.00000,12.00000,0.35161,0.40000,0.27359,0.40000,0.40000,0.35161,0.30000,0.35161,0.40000,0.40000,0.35161,0.35161,0.40000,0.40000,0.15434,0.40000,0.33333,0.35161
37,0.26181,2.00000,0.16667,12.00000,0.10000,0.33916,0.16667,0.83333,20.00000,18.00000,0.26181,0.10000,0.29346,0.10000,0.10000,0.26181,0.20000,0.26181,0.10000,0.20000,0.26181,0.26181,0.10000,0.10000,0.10714,0.16667,1.00000,0.26181
38,0.10333,1.00000,0.06250,16.00000,0.05000,0.21399,0.06250,0.62500,20.00000,19.00000,0.10333,0.05000,0.13886,0.05000,0.05000,0.10333,0.10000,0.10333,0.05000,0.20000,0.10333,0.10333,0.05000,0.05000,0.03125,0.06250,0.50000,0.10333
39,0.36291,4.00000,0.25000,12.00000,0.20000,0.33916,0.33333,0.97222,20.00000,16.00000,0.36291,0.20000,0.29346,0.20000,0.20000,0.36291,0.20000,0.36291,0.20000,0.20000,0.36291,0.36291,0.20000,0.20000,0.14881,0.33333,1.00000,0.36291
40,0.44246,4.00000,0.20000,10.00000,0.20000,0.50874,0.40000,1.16316,20.00000,16.00000,0.44246,0.20000,0.33014,0.20000,0.20000,0.44246,0.20000,0.44246,0.20000,0.40000,0.44246,0.44246,0.20000,0.20000,0.21499,0.40000,1.00000,0.44246
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.11553,3.00000,0.00000,21.00000,0.15000,0.00000,0.14286,0.55170,20.00000,17.00000,0.11553,0.15000,0.07336,0.15000,0.15000,0.11553,0.10000,0.11553,0.15000,0.00000,0.11553,0.11921,0.15000,0.15000,0.02313,0.14286,0.14286,0.11553
43,0.20494,7.00000,0.00000,41.00000,0.35000,0.21399,0.17073,0.32667,20.00000,13.00000,0.20494,0.35000,0.28669,0.35000,0.35000,0.20494,0.30000,0.25225,0.35000,0.20000,0.20494,0.32826,0.35000,0.35000,0.06549,0.17073,0.50000,0.20494
44,0.37976,4.00000,0.23529,17.00000,0.20000,0.72273,0.23529,0.64706,20.00000,16.00000,0.37976,0.20000,0.46900,0.20000,0.20000,0.37976,0.30000,0.37976,0.20000,0.60000,0.37976,0.37976,0.20000,0.20000,0.19786,0.23529,1.00000,0.37976
45,0.32080,5.00000,0.00000,26.00000,0.25000,0.83042,0.19231,0.40577,20.00000,15.00000,0.32080,0.25000,0.53889,0.25000,0.25000,0.32080,0.40000,0.32080,0.25000,0.80000,0.32080,0.38012,0.25000,0.25000,0.14615,0.19231,1.00000,0.32080
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.10715,2.00000,0.08333,12.00000,0.10000,0.00000,0.16667,0.89063,20.00000,18.00000,0.10715,0.10000,0.06625,0.10000,0.10000,0.10715,0.10000,0.10715,0.10000,0.00000,0.10715,0.10715,0.10000,0.10000,0.01968,0.16667,0.11111,0.10715
49,0.41947,3.00000,0.25000,8.00000,0.15000,0.48523,0.37500,1.31875,20.00000,17.00000,0.41947,0.15000,0.36188,0.15000,0.15000,0.41947,0.20000,0.41947,0.15000,0.40000,0.41947,0.41947,0.15000,0.15000,0.20625,0.37500,1.00000,0.41947
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.00000,1.00000,1.00000,1.00000,0.05000,1.00000,1.00000,10.00000,20.00000,19.00000,1.00000,0.05000,1.00000,0.05000,0.05000,1.00000,0.10000,1.00000,0.05000,0.20000,1.00000,1.00000,0.05000,0.05000,1.00000,1.00000,1.00000,1.00000
58,0.39824,9.00000,0.00000,30.00000,0.45000,0.69921,0.30000,0.43771,20.00000,11.00000,0.39824,0.45000,0.58679,0.45000,0.45000,0.39824,0.50000,0.39824,0.45000,0.60000,0.39824,0.51823,0.45000,0.45000,0.18694,0.30000,1.00000,0.39824
59,0.22766,5.00000,0.00000,43.00000,0.25000,0.78601,0.11628,0.23256,20.00000,15.00000,0.22766,0.25000,0.58343,0.25000,0.25000,0.22766,0.50000,0.28935,0.25000,0.80000,0.22766,0.37653,0.25000,0.25000,0.09142,0.11628,1.00000,0.22766
60,0.22542,5.00000,0.00000,27.00000,0.25000,0.38357,0.18519,0.41523,20.00000,15.00000,0.22542,0.25000,0.32227,0.25000,0.25000,0.22542,0.30000,0.22542,0.25000,0.40000,0.22542,0.27376,0.25000,0.25000,0.07657,0.18519,0.50000,0.22542
61,0.49201,11.00000,0.00000,31.00000,0.55000,1.00000,0.35484,0.43297,20.00000,9.00000,0.49201,0.55000,0.79095,0.55000,0.55000,0.49201,0.70000,0.50275,0.55000,1.00000,0.49201,0.65424,0.55000,0.55000,0.29945,0.35484,1.00000,0.49201
62,0.00000,0.00000,0.00000,8.00000,0.00000,0.00000,0.00000,1.25000,20.00000,20.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,0.54925,6.00000,0.41667,12.00000,0.30000,0.65481,0.50000,0.96930,20.00000,14.00000,0.54925,0.30000,0.50332,0.30000,0.30000,0.54925,0.40000,0.54925,0.30000,0.60000,0.54925,0.54925,0.30000,0.30000,0.32114,0.50000,1.00000,0.54925
