q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
1,0.44126,2.00000,0.20000,5.00000,0.10000,0.33916,0.40000,2.00000,20.00000,18.00000,0.44126,0.10000,0.44126,0.10000,0.10000,0.44126,0.20000,0.44126,0.10000,0.20000,0.44126,0.44126,0.10000,0.10000,0.24444,0.40000,1.00000,0.44126
2,1.00000,3.00000,1.00000,3.00000,0.15000,1.00000,1.00000,3.33333,20.00000,17.00000,1.00000,0.15000,1.00000,0.15000,0.15000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.15000,0.15000,1.00000,1.00000,1.00000,1.00000
3,0.08747,1.00000,0.00000,6.00000,0.05000,0.00000,0.16667,1.66667,20.00000,19.00000,0.08747,0.05000,0.08747,0.05000,0.05000,0.08747,0.10000,0.08747,0.05000,0.00000,0.08747,0.08747,0.05000,0.05000,0.01667,0.16667,0.10000,0.08747
4,0.17414,2.00000,0.16667,12.00000,0.10000,0.30079,0.16667,0.83333,20.00000,18.00000,0.17414,0.10000,0.19519,0.10000,0.10000,0.17414,0.20000,0.17414,0.10000,0.40000,0.17414,0.17414,0.10000,0.10000,0.06111,0.16667,0.33333,0.17414
5,0.22282,2.00000,0.12500,8.00000,0.10000,0.21399,0.25000,1.34167,20.00000,18.00000,0.22282,0.10000,0.15959,0.10000,0.10000,0.22282,0.10000,0.22282,0.10000,0.20000,0.22282,0.22282,0.10000,0.10000,0.07917,0.25000,0.50000,0.22282
6,0.35015,2.00000,0.00000,3.00000,0.10000,0.20211,0.66667,3.33333,20.00000,18.00000,0.35015,0.10000,0.35015,0.10000,0.10000,0.35015,0.20000,0.35015,0.10000,0.20000,0.35015,0.35015,0.10000,0.10000,0.16667,0.66667,0.25000,0.35015
7,0.37349,8.00000,0.00000,28.00000,0.40000,0.61643,0.28571,0.40551,20.00000,12.00000,0.37349,0.40000,0.61411,0.40000,0.40000,0.37349,0.60000,0.37349,0.40000,0.60000,0.37349,0.46451,0.40000,0.40000,0.17644,0.28571,1.00000,0.37349
8,0.67139,2.00000,0.33333,3.00000,0.10000,0.67139,0.66667,3.33333,20.00000,18.00000,0.67139,0.10000,0.67139,0.10000,0.10000,0.67139,0.20000,0.67139,0.10000,0.40000,0.67139,0.67139,0.10000,0.10000,0.50000,0.66667,1.00000,0.67139
9,0.30248,3.00000,0.33333,9.00000,0.15000,0.31565,0.33333,1.11111,20.00000,17.00000,0.30248,0.15000,0.30248,0.15000,0.15000,0.30248,0.30000,0.30248,0.15000,0.40000,0.30248,0.30248,0.15000,0.15000,0.14815,0.33333,0.33333,0.30248
10,0.46002,12.00000,0.00000,35.00000,0.60000,0.72273,0.34286,0.40997,20.00000,8.00000,0.46002,0.60000,0.75064,0.60000,0.60000,0.46002,0.70000,0.50939,0.60000,0.60000,0.46002,0.66288,0.60000,0.60000,0.25937,0.34286,1.00000,0.46002
