q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
21,0.64533,10.00000,0.18182,11.00000,0.02000,0.55315,0.90909,1.18357,1000.00000,990.00000,0.64533,0.16667,0.35895,0.01000,0.07000,0.64533,0.20000,0.48871,0.20000,0.40000,0.55896,0.44221,0.01000,0.05000,0.28219,0.90909,1.00000,0.64533
22,0.86349,17.00000,0.70588,17.00000,0.03400,0.78601,1.00000,0.98192,1000.00000,983.00000,0.86349,0.43333,0.72545,0.01700,0.17000,0.86349,0.70000,0.75974,0.65000,0.80000,0.86349,0.75974,0.01700,0.08500,0.63814,1.00000,1.00000,0.86349
23,0.93441,4.00000,0.75000,4.00000,0.00800,0.83187,1.00000,2.71154,1000.00000,996.00000,0.93441,0.13333,0.83187,0.00400,0.04000,0.93441,0.30000,0.93441,0.20000,0.60000,0.93441,0.93441,0.00400,0.02000,0.82692,1.00000,1.00000,0.93441
24,0.29862,4.00000,0.07692,13.00000,0.02128,0.33916,0.30769,0.86625,188.00000,184.00000,0.29862,0.06667,0.22009,0.02128,0.03000,0.29862,0.10000,0.23452,0.10000,0.20000,0.27093,0.23452,0.02128,0.02128,0.09760,0.30769,1.00000,0.29862
25,0.50674,30.00000,0.27451,51.00000,0.05400,0.63995,0.58824,0.36619,1000.00000,970.00000,0.50674,0.43333,0.54516,0.03000,0.20000,0.44565,0.50000,0.46553,0.40000,0.60000,0.41406,0.45568,0.03000,0.11500,0.18151,0.58824,1.00000,0.48228
26,0.42982,20.00000,0.16667,30.00000,0.04000,0.21399,0.66667,0.48081,1000.00000,980.00000,0.42982,0.16667,0.26874,0.02000,0.10000,0.36243,0.30000,0.19166,0.25000,0.20000,0.28603,0.24941,0.02000,0.07500,0.10839,0.66667,0.50000,0.42982
27,0.60361,23.00000,0.31034,29.00000,0.04400,0.65481,0.79310,0.55632,1000.00000,977.00000,0.60361,0.30000,0.49829,0.02300,0.13000,0.49582,0.40000,0.38764,0.40000,0.60000,0.46602,0.46274,0.02300,0.07500,0.22728,0.79310,1.00000,0.59126
28,0.87531,5.00000,0.80000,5.00000,0.01000,0.83042,1.00000,2.01176,1000.00000,995.00000,0.87531,0.13333,0.83042,0.00500,0.04000,0.87531,0.40000,0.83042,0.20000,0.80000,0.83042,0.83042,0.00500,0.02500,0.71535,1.00000,1.00000,0.87531
29,0.41840,14.00000,0.21053,19.00000,0.02800,0.00000,0.73684,0.86502,1000.00000,986.00000,0.41840,0.20000,0.06943,0.01400,0.12000,0.38288,0.10000,0.22101,0.25000,0.00000,0.38288,0.18856,0.01400,0.06000,0.13674,0.73684,0.12500,0.41840
30,0.46393,4.00000,0.25000,4.00000,0.00800,0.24630,1.00000,2.76035,1000.00000,996.00000,0.46393,0.06667,0.24630,0.00400,0.03000,0.46393,0.10000,0.34622,0.10000,0.20000,0.40780,0.34622,0.00400,0.02000,0.17822,1.00000,0.50000,0.46393
31,0.74869,2.00000,0.50000,2.00000,0.00400,0.61315,1.00000,5.25000,1000.00000,998.00000,0.74869,0.06667,0.61315,0.00200,0.02000,0.74869,0.10000,0.74869,0.05000,0.20000,0.74869,0.61315,0.00200,0.01000,0.54545,1.00000,1.00000,0.74869
32,0.67139,2.00000,0.33333,3.00000,0.00400,0.67139,0.66667,3.33333,1000.00000,998.00000,0.67139,0.06667,0.67139,0.00200,0.02000,0.67139,0.20000,0.67139,0.10000,0.40000,0.67139,0.67139,0.00200,0.01000,0.50000,0.66667,1.00000,0.67139
33,0.27894,1.00000,0.00000,1.00000,0.00200,0.00000,1.00000,11.00000,1000.00000,999.00000,0.27894,0.03333,0.00000,0.00100,0.01000,0.27894,0.00000,0.27894,0.05000,0.00000,0.27894,0.27894,0.00100,0.00500,0.09091,1.00000,0.09091,0.27894
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.58193,17.00000,0.40000,20.00000,0.03400,0.30079,0.85000,0.90648,1000.00000,983.00000,0.58193,0.36667,0.27359,0.01700,0.15000,0.58193,0.30000,0.44427,0.40000,0.40000,0.54105,0.35161,0.01700,0.08500,0.27938,0.85000,0.33333,0.58193
37,0.40660,7.00000,0.16667,12.00000,0.01400,0.33916,0.58333,0.88533,1000.00000,993.00000,0.40660,0.06667,0.29346,0.00700,0.04000,0.38329,0.20000,0.26181,0.10000,0.20000,0.32665,0.26181,0.00700,0.03000,0.12513,0.58333,1.00000,0.40660
38,0.35708,10.00000,0.06250,16.00000,0.02000,0.21399,0.62500,0.78155,1000.00000,990.00000,0.35708,0.13333,0.13886,0.01000,0.07000,0.35708,0.10000,0.20568,0.05000,0.20000,0.28977,0.10333,0.01000,0.05000,0.08233,0.62500,0.50000,0.35708
39,0.49702,9.00000,0.25000,12.00000,0.01600,0.33916,0.75000,1.01758,1000.00000,991.00000,0.49702,0.13333,0.29346,0.00900,0.06000,0.45271,0.20000,0.36291,0.20000,0.20000,0.42697,0.36291,0.00900,0.03500,0.16824,0.75000,1.00000,0.47691
40,0.59560,8.00000,0.20000,10.00000,0.01600,0.50874,0.80000,1.28267,1000.00000,992.00000,0.59560,0.16667,0.33014,0.00800,0.07000,0.59560,0.20000,0.49111,0.20000,0.40000,0.56667,0.44246,0.00800,0.04000,0.26506,0.80000,1.00000,0.59560
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.36666,15.00000,0.14286,21.00000,0.02600,0.00000,0.71429,0.67953,1000.00000,985.00000,0.36666,0.16667,0.07336,0.01500,0.08000,0.28674,0.10000,0.17561,0.15000,0.00000,0.24774,0.11921,0.01500,0.05000,0.07599,0.71429,0.14286,0.33809
43,0.46044,25.00000,0.29268,41.00000,0.04800,0.21399,0.60976,0.46559,1000.00000,975.00000,0.46044,0.30000,0.28669,0.02500,0.16000,0.42877,0.30000,0.30086,0.35000,0.20000,0.35354,0.32826,0.02500,0.11000,0.15456,0.60976,0.50000,0.45108
44,0.52902,11.00000,0.23529,17.00000,0.01400,0.72273,0.64706,0.70990,1000.00000,989.00000,0.52902,0.16667,0.46900,0.01100,0.06000,0.44582,0.30000,0.41510,0.20000,0.60000,0.44582,0.37976,0.01100,0.03000,0.22595,0.64706,1.00000,0.46386
45,0.64534,21.00000,0.23077,26.00000,0.04200,0.83042,0.80769,0.61012,1000.00000,979.00000,0.64534,0.26667,0.53889,0.02100,0.16000,0.58810,0.40000,0.39617,0.25000,0.80000,0.57165,0.38012,0.02100,0.08500,0.27616,0.80769,1.00000,0.64534
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.35205,11.00000,0.08333,12.00000,0.02200,0.00000,0.91667,0.97367,1000.00000,989.00000,0.35205,0.06667,0.06625,0.01100,0.04000,0.25416,0.10000,0.10715,0.10000,0.00000,0.17261,0.10715,0.01100,0.03500,0.05095,0.91667,0.11111,0.35205
49,0.56661,7.00000,0.25000,8.00000,0.01400,0.48523,0.87500,1.38055,1000.00000,993.00000,0.56661,0.10000,0.36188,0.00700,0.05000,0.53741,0.20000,0.41947,0.15000,0.40000,0.50073,0.41947,0.00700,0.03000,0.22985,0.87500,1.00000,0.56661
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.00000,1.00000,1.00000,1.00000,0.00200,1.00000,1.00000,10.00000,1000.00000,999.00000,1.00000,0.03333,1.00000,0.00100,0.01000,1.00000,0.10000,1.00000,0.05000,0.20000,1.00000,1.00000,0.00100,0.00500,1.00000,1.00000,1.00000,1.00000
58,0.55862,18.00000,0.36667,30.00000,0.03400,0.69921,0.60000,0.53106,1000.00000,982.00000,0.55862,0.36667,0.58679,0.01800,0.15000,0.53400,0.50000,0.44594,0.45000,0.60000,0.51912,0.51823,0.01800,0.08000,0.25275,0.60000,1.00000,0.54736
59,0.49688,27.00000,0.20930,43.00000,0.04800,0.78601,0.62791,0.31943,1000.00000,973.00000,0.49688,0.23333,0.58343,0.02700,0.11000,0.37610,0.50000,0.33698,0.25000,0.80000,0.32810,0.37653,0.02700,0.07500,0.14990,0.62791,1.00000,0.46959
60,0.47815,18.00000,0.18519,27.00000,0.03400,0.38357,0.66667,0.56209,1000.00000,982.00000,0.47815,0.16667,0.32227,0.01800,0.15000,0.45158,0.30000,0.22542,0.25000,0.40000,0.43625,0.27376,0.01800,0.08000,0.16272,0.66667,0.50000,0.46594
61,0.71201,24.00000,0.38710,31.00000,0.04400,1.00000,0.77419,0.55516,1000.00000,976.00000,0.71201,0.40000,0.79095,0.02400,0.19000,0.66296,0.70000,0.52688,0.55000,1.00000,0.64780,0.65424,0.02400,0.10000,0.40151,0.77419,1.00000,0.68900
62,0.26279,7.00000,0.00000,8.00000,0.01400,0.00000,0.87500,1.36939,1000.00000,993.00000,0.26279,0.00000,0.00000,0.00700,0.03000,0.20049,0.00000,0.00000,0.00000,0.00000,0.12659,0.00000,0.00700,0.02500,0.02624,0.87500,0.02564,0.26279
63,0.69224,10.00000,0.41667,12.00000,0.02000,0.65481,0.83333,1.07955,1000.00000,990.00000,0.69224,0.20000,0.50332,0.01000,0.10000,0.69224,0.40000,0.54925,0.30000,0.60000,0.69224,0.54925,0.01000,0.05000,0.38472,0.83333,1.00000,0.69224
