q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
1,0.54284,4.00000,0.20000,5.00000,0.00800,0.33916,0.80000,2.04936,1000.00000,996.00000,0.54284,0.06667,0.44126,0.00400,0.03000,0.49891,0.20000,0.44126,0.10000,0.20000,0.49891,0.44126,0.00400,0.01500,0.25860,0.80000,1.00000,0.54284
2,1.00000,3.00000,1.00000,3.00000,0.00600,1.00000,1.00000,3.33333,1000.00000,997.00000,1.00000,0.10000,1.00000,0.00300,0.03000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.00300,0.01500,1.00000,1.00000,1.00000,1.00000
3,0.18351,3.00000,0.00000,6.00000,0.00600,0.00000,0.50000,1.71788,1000.00000,997.00000,0.18351,0.03333,0.08747,0.00300,0.02000,0.18351,0.10000,0.08747,0.05000,0.00000,0.14056,0.08747,0.00300,0.01500,0.02702,0.50000,0.10000,0.18351
4,0.28695,6.00000,0.16667,12.00000,0.01200,0.30079,0.50000,0.87023,1000.00000,994.00000,0.28695,0.06667,0.19519,0.00600,0.03000,0.23644,0.20000,0.17414,0.10000,0.40000,0.20969,0.17414,0.00600,0.02000,0.07294,0.50000,0.33333,0.28695
5,0.39939,6.00000,0.12500,8.00000,0.01200,0.21399,0.75000,1.47053,1000.00000,994.00000,0.39939,0.06667,0.15959,0.00600,0.06000,0.39939,0.10000,0.22282,0.10000,0.20000,0.39939,0.22282,0.00600,0.03000,0.12140,0.75000,0.50000,0.39939
6,0.44023,3.00000,0.00000,3.00000,0.00600,0.20211,1.00000,3.43519,1000.00000,997.00000,0.44023,0.06667,0.35015,0.00300,0.03000,0.44023,0.20000,0.35015,0.10000,0.20000,0.44023,0.35015,0.00300,0.01500,0.19444,1.00000,0.25000,0.44023
7,0.52989,18.00000,0.28571,28.00000,0.03200,0.61643,0.64286,0.44956,1000.00000,982.00000,0.52989,0.26667,0.61411,0.01800,0.11000,0.47795,0.60000,0.37349,0.40000,0.60000,0.43160,0.46451,0.01800,0.07000,0.20885,0.64286,1.00000,0.50561
8,0.74696,3.00000,0.33333,3.00000,0.00600,0.67139,1.00000,3.38356,1000.00000,997.00000,0.74696,0.06667,0.67139,0.00300,0.03000,0.74696,0.20000,0.67139,0.10000,0.40000,0.74696,0.67139,0.00300,0.01500,0.51370,1.00000,1.00000,0.74696
9,0.54810,9.00000,0.33333,9.00000,0.01800,0.31565,1.00000,1.28624,1000.00000,991.00000,0.54810,0.13333,0.30248,0.00900,0.07000,0.54810,0.30000,0.35309,0.15000,0.40000,0.47903,0.30248,0.00900,0.04500,0.22567,1.00000,0.33333,0.54810
10,0.66705,25.00000,0.45714,35.00000,0.04800,0.72273,0.71429,0.53615,1000.00000,975.00000,0.66705,0.50000,0.75064,0.02500,0.18000,0.62005,0.70000,0.57971,0.60000,0.60000,0.57851,0.66288,0.02500,0.10500,0.36552,0.71429,1.00000,0.65688
11,0.75102,17.00000,0.52632,19.00000,0.04645,0.83042,0.89474,0.71495,366.00000,349.00000,0.75102,0.36667,0.74212,0.04645,0.11000,0.69770,0.70000,0.63919,0.50000,0.80000,0.63919,0.60627,0.04645,0.07000,0.44061,0.89474,1.00000,0.75102
12,0.68982,4.00000,0.40000,5.00000,0.00901,0.55315,0.80000,2.15207,444.00000,440.00000,0.68982,0.10000,0.55315,0.00901,0.04000,0.68982,0.20000,0.62370,0.10000,0.40000,0.68982,0.55315,0.00901,0.02000,0.44575,0.80000,1.00000,0.68982
13,0.60807,9.00000,0.18182,11.00000,0.01800,0.55315,0.81818,1.14877,1000.00000,991.00000,0.60807,0.13333,0.35895,0.00900,0.06000,0.58131,0.20000,0.44396,0.20000,0.40000,0.52127,0.44396,0.00900,0.04000,0.26585,0.81818,1.00000,0.60807
14,0.21894,15.00000,0.09091,44.00000,0.02800,0.00000,0.34091,0.34142,1000.00000,985.00000,0.21894,0.13333,0.00000,0.01500,0.08000,0.19919,0.00000,0.10414,0.10000,0.00000,0.13699,0.07569,0.01500,0.06500,0.03385,0.34091,0.08333,0.21017
15,0.36579,6.00000,0.10000,10.00000,0.01200,0.21399,0.60000,1.23654,1000.00000,994.00000,0.36579,0.10000,0.13886,0.00600,0.06000,0.36579,0.10000,0.24612,0.15000,0.20000,0.36579,0.24612,0.00600,0.03000,0.11289,0.60000,0.50000,0.36579
16,0.28454,12.00000,0.05882,17.00000,0.02000,0.00000,0.70588,0.73190,1000.00000,988.00000,0.28454,0.03333,0.00000,0.01200,0.05000,0.17725,0.00000,0.04259,0.05000,0.00000,0.15484,0.04259,0.01200,0.03000,0.03081,0.70588,0.08333,0.25210
17,0.44228,11.00000,0.25000,16.00000,0.02200,0.36005,0.68750,0.75867,1000.00000,989.00000,0.44228,0.13333,0.29727,0.01100,0.07000,0.42105,0.30000,0.26546,0.20000,0.40000,0.35138,0.26546,0.01100,0.05000,0.13970,0.68750,0.50000,0.44228
18,0.32100,7.00000,0.09091,11.00000,0.01200,0.16958,0.63636,1.07963,1000.00000,993.00000,0.32100,0.10000,0.11005,0.00700,0.06000,0.29953,0.10000,0.20398,0.10000,0.20000,0.29953,0.15814,0.00700,0.03000,0.07242,0.63636,0.33333,0.29953
19,0.61823,7.00000,0.45455,11.00000,0.02583,0.78601,0.63636,0.94112,271.00000,264.00000,0.61823,0.16667,0.58343,0.02583,0.07000,0.61823,0.50000,0.54969,0.25000,0.80000,0.61823,0.54969,0.02583,0.03500,0.37536,0.63636,1.00000,0.61823
20,1.00000,3.00000,1.00000,3.00000,0.00600,1.00000,1.00000,3.33333,1000.00000,997.00000,1.00000,0.10000,1.00000,0.00300,0.03000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.00300,0.01500,1.00000,1.00000,1.00000,1.00000
