q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
22,0.51942,7.00000,0.00000,17.00000,0.70000,0.78601,0.41176,0.58824,10.00000,3.00000,0.51942,0.70000,0.72545,0.70000,0.70000,0.51942,0.70000,0.51942,0.70000,0.80000,0.51942,0.51942,0.70000,0.70000,0.32983,0.41176,1.00000,0.51942
23,0.83187,3.00000,0.75000,4.00000,0.30000,0.83187,0.75000,2.50000,10.00000,7.00000,0.83187,0.30000,0.83187,0.30000,0.30000,0.83187,0.30000,0.83187,0.30000,0.60000,0.83187,0.83187,0.30000,0.30000,0.75000,0.75000,1.00000,0.83187
24,0.18673,1.00000,0.00000,13.00000,0.10000,0.33916,0.07692,0.76923,10.00000,9.00000,0.18673,0.10000,0.22009,0.10000,0.10000,0.18673,0.10000,0.18673,0.10000,0.20000,0.18673,0.18673,0.10000,0.10000,0.07692,0.07692,1.00000,0.18673
25,0.18947,5.00000,0.00000,51.00000,0.50000,0.63995,0.09804,0.19608,10.00000,5.00000,0.18947,0.50000,0.54516,0.50000,0.50000,0.18947,0.50000,0.27036,0.50000,0.60000,0.18947,0.35183,0.50000,0.50000,0.06296,0.09804,1.00000,0.18947
26,0.13328,3.00000,0.00000,30.00000,0.30000,0.21399,0.10000,0.33333,10.00000,7.00000,0.13328,0.30000,0.26874,0.30000,0.30000,0.13328,0.30000,0.13328,0.30000,0.20000,0.13328,0.17343,0.30000,0.30000,0.03407,0.10000,0.50000,0.13328
27,0.25269,4.00000,0.00000,29.00000,0.40000,0.65481,0.13793,0.34483,10.00000,6.00000,0.25269,0.40000,0.49829,0.40000,0.40000,0.25269,0.40000,0.25269,0.40000,0.60000,0.25269,0.32158,0.40000,0.40000,0.10304,0.13793,1.00000,0.25269
28,0.83042,4.00000,0.80000,5.00000,0.40000,0.83042,0.80000,2.00000,10.00000,6.00000,0.83042,0.40000,0.83042,0.40000,0.40000,0.83042,0.40000,0.83042,0.40000,0.80000,0.83042,0.83042,0.40000,0.40000,0.71000,0.80000,1.00000,0.83042
29,0.04631,1.00000,0.00000,19.00000,0.10000,0.00000,0.05263,0.52632,10.00000,9.00000,0.04631,0.10000,0.06943,0.10000,0.10000,0.04631,0.10000,0.04631,0.10000,0.00000,0.04631,0.04631,0.10000,0.10000,0.00658,0.05263,0.12500,0.04631
30,0.24630,1.00000,0.25000,4.00000,0.10000,0.24630,0.25000,2.50000,10.00000,9.00000,0.24630,0.10000,0.24630,0.10000,0.10000,0.24630,0.10000,0.24630,0.10000,0.20000,0.24630,0.24630,0.10000,0.10000,0.12500,0.25000,0.50000,0.24630
31,0.61315,1.00000,0.50000,2.00000,0.10000,0.61315,0.50000,5.00000,10.00000,9.00000,0.61315,0.10000,0.61315,0.10000,0.10000,0.61315,0.10000,0.61315,0.10000,0.20000,0.61315,0.61315,0.10000,0.10000,0.50000,0.50000,1.00000,0.61315
32,0.67139,2.00000,0.33333,3.00000,0.20000,0.67139,0.66667,3.33333,10.00000,8.00000,0.67139,0.20000,0.67139,0.20000,0.20000,0.67139,0.20000,0.67139,0.20000,0.40000,0.67139,0.67139,0.20000,0.20000,0.50000,0.66667,1.00000,0.67139
33,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,10.00000,10.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.17656,3.00000,0.00000,20.00000,0.30000,0.30079,0.15000,0.50000,10.00000,7.00000,0.17656,0.30000,0.27359,0.30000,0.30000,0.17656,0.30000,0.17656,0.30000,0.40000,0.17656,0.17656,0.30000,0.30000,0.06167,0.15000,0.33333,0.17656
37,0.26181,2.00000,0.00000,12.00000,0.20000,0.33916,0.16667,0.83333,10.00000,8.00000,0.26181,0.20000,0.29346,0.20000,0.20000,0.26181,0.20000,0.26181,0.20000,0.20000,0.26181,0.26181,0.20000,0.20000,0.10714,0.16667,1.00000,0.26181
38,0.10333,1.00000,0.00000,16.00000,0.10000,0.21399,0.06250,0.62500,10.00000,9.00000,0.10333,0.10000,0.13886,0.10000,0.10000,0.10333,0.10000,0.10333,0.10000,0.20000,0.10333,0.10333,0.10000,0.10000,0.03125,0.06250,0.50000,0.10333
