q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
1,0.49891,3.00000,0.20000,5.00000,0.03000,0.33916,0.60000,2.03793,100.00000,97.00000,0.49891,0.06667,0.44126,0.03000,0.03000,0.49891,0.20000,0.44126,0.10000,0.20000,0.49891,0.44126,0.03000,0.03000,0.25479,0.60000,1.00000,0.49891
2,1.00000,3.00000,1.00000,3.00000,0.03000,1.00000,1.00000,3.33333,100.00000,97.00000,1.00000,0.10000,1.00000,0.03000,0.03000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.03000,0.03000,1.00000,1.00000,1.00000,1.00000
3,0.14056,2.00000,0.00000,6.00000,0.02000,0.00000,0.33333,1.70261,100.00000,98.00000,0.14056,0.03333,0.08747,0.02000,0.02000,0.14056,0.10000,0.08747,0.05000,0.00000,0.14056,0.08747,0.02000,0.02000,0.02320,0.33333,0.10000,0.14056
4,0.20969,3.00000,0.16667,12.00000,0.03000,0.30079,0.25000,0.85370,100.00000,97.00000,0.20969,0.06667,0.19519,0.03000,0.03000,0.20969,0.20000,0.17414,0.10000,0.40000,0.20969,0.17414,0.03000,0.03000,0.06667,0.25000,0.33333,0.20969
5,0.39939,6.00000,0.12500,8.00000,0.06000,0.21399,0.75000,1.47053,100.00000,94.00000,0.39939,0.06667,0.15959,0.06000,0.06000,0.39939,0.10000,0.22282,0.10000,0.20000,0.39939,0.22282,0.06000,0.06000,0.12140,0.75000,0.50000,0.39939
6,0.44023,3.00000,0.00000,3.00000,0.03000,0.20211,1.00000,3.43519,100.00000,97.00000,0.44023,0.06667,0.35015,0.03000,0.03000,0.44023,0.20000,0.35015,0.10000,0.20000,0.44023,0.35015,0.03000,0.03000,0.19444,1.00000,0.25000,0.44023
7,0.43160,11.00000,0.28571,28.00000,0.11000,0.61643,0.39286,0.43179,100.00000,89.00000,0.43160,0.26667,0.61411,0.11000,0.11000,0.43160,0.60000,0.37349,0.40000,0.60000,0.43160,0.46451,0.11000,0.11000,0.19503,0.39286,1.00000,0.43160
8,0.74696,3.00000,0.33333,3.00000,0.03000,0.67139,1.00000,3.38356,100.00000,97.00000,0.74696,0.06667,0.67139,0.03000,0.03000,0.74696,0.20000,0.67139,0.10000,0.40000,0.74696,0.67139,0.03000,0.03000,0.51370,1.00000,1.00000,0.74696
9,0.47903,7.00000,0.33333,9.00000,0.07000,0.31565,0.77778,1.25521,100.00000,93.00000,0.47903,0.13333,0.30248,0.07000,0.07000,0.47903,0.30000,0.35309,0.15000,0.40000,0.47903,0.30248,0.07000,0.07000,0.20866,0.77778,0.33333,0.47903
10,0.57851,18.00000,0.45714,35.00000,0.18000,0.72273,0.51429,0.51236,100.00000,82.00000,0.57851,0.50000,0.75064,0.18000,0.18000,0.57851,0.70000,0.57971,0.60000,0.60000,0.57851,0.66288,0.18000,0.18000,0.34469,0.51429,1.00000,0.57851
