q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
1,0.44126,2.00000,0.20000,5.00000,0.04000,0.33916,0.40000,2.00000,50.00000,48.00000,0.44126,0.06667,0.44126,0.04000,0.04000,0.44126,0.20000,0.44126,0.10000,0.20000,0.44126,0.44126,0.04000,0.04000,0.24444,0.40000,1.00000,0.44126
2,1.00000,3.00000,1.00000,3.00000,0.06000,1.00000,1.00000,3.33333,50.00000,47.00000,1.00000,0.10000,1.00000,0.06000,0.06000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.06000,0.06000,1.00000,1.00000,1.00000,1.00000
3,0.08747,1.00000,0.00000,6.00000,0.02000,0.00000,0.16667,1.66667,50.00000,49.00000,0.08747,0.03333,0.08747,0.02000,0.02000,0.08747,0.10000,0.08747,0.05000,0.00000,0.08747,0.08747,0.02000,0.02000,0.01667,0.16667,0.10000,0.08747
4,0.20969,3.00000,0.16667,12.00000,0.06000,0.30079,0.25000,0.85370,50.00000,47.00000,0.20969,0.06667,0.19519,0.06000,0.06000,0.20969,0.20000,0.17414,0.10000,0.40000,0.20969,0.17414,0.06000,0.06000,0.06667,0.25000,0.33333,0.20969
5,0.31321,4.00000,0.12500,8.00000,0.08000,0.21399,0.50000,1.40750,50.00000,46.00000,0.31321,0.06667,0.15959,0.08000,0.08000,0.31321,0.10000,0.22282,0.10000,0.20000,0.31321,0.22282,0.08000,0.08000,0.09750,0.50000,0.50000,0.31321
6,0.44023,3.00000,0.00000,3.00000,0.06000,0.20211,1.00000,3.43519,50.00000,47.00000,0.44023,0.06667,0.35015,0.06000,0.06000,0.44023,0.20000,0.35015,0.10000,0.20000,0.44023,0.35015,0.06000,0.06000,0.19444,1.00000,0.25000,0.44023
7,0.39576,9.00000,0.28571,28.00000,0.18000,0.61643,0.32143,0.41916,50.00000,41.00000,0.39576,0.26667,0.61411,0.18000,0.18000,0.39576,0.60000,0.37349,0.40000,0.60000,0.39576,0.46451,0.18000,0.18000,0.18589,0.32143,1.00000,0.39576
8,0.67139,2.00000,0.33333,3.00000,0.04000,0.67139,0.66667,3.33333,50.00000,48.00000,0.67139,0.06667,0.67139,0.04000,0.04000,0.67139,0.20000,0.67139,0.10000,0.40000,0.67139,0.67139,0.04000,0.04000,0.50000,0.66667,1.00000,0.67139
9,0.44300,6.00000,0.33333,9.00000,0.12000,0.31565,0.66667,1.23811,50.00000,44.00000,0.44300,0.13333,0.30248,0.12000,0.12000,0.44300,0.30000,0.35309,0.15000,0.40000,0.44300,0.30248,0.12000,0.12000,0.20012,0.66667,0.33333,0.44300
10,0.56146,17.00000,0.45714,35.00000,0.34000,0.72273,0.48571,0.50125,50.00000,33.00000,0.56146,0.50000,0.75064,0.34000,0.34000,0.56146,0.70000,0.57971,0.60000,0.60000,0.56146,0.66288,0.34000,0.34000,0.33516,0.48571,1.00000,0.56146
11,0.63919,11.00000,0.52632,19.00000,0.22000,0.83042,0.57895,0.69130,50.00000,39.00000,0.63919,0.36667,0.74212,0.22000,0.22000,0.63919,0.70000,0.63919,0.50000,0.80000,0.63919,0.60627,0.22000,0.22000,0.42112,0.57895,1.00000,0.63919
12,0.68982,4.00000,0.40000,5.00000,0.08000,0.55315,0.80000,2.15207,50.00000,46.00000,0.68982,0.10000,0.55315,0.08000,0.08000,0.68982,0.20000,0.62370,0.10000,0.40000,0.68982,0.55315,0.08000,0.08000,0.44575,0.80000,1.00000,0.68982
13,0.52127,6.00000,0.18182,11.00000,0.12000,0.55315,0.54545,1.11786,50.00000,44.00000,0.52127,0.13333,0.35895,0.12000,0.12000,0.52127,0.20000,0.44396,0.20000,0.40000,0.52127,0.44396,0.12000,0.12000,0.25062,0.54545,1.00000,0.52127
14,0.09558,5.00000,0.09091,44.00000,0.10000,0.00000,0.11364,0.29958,50.00000,45.00000,0.09558,0.13333,0.00000,0.10000,0.10000,0.09558,0.00000,0.10414,0.10000,0.00000,0.09558,0.07569,0.10000,0.10000,0.01375,0.11364,0.08333,0.09558
15,0.33067,5.00000,0.10000,10.00000,0.10000,0.21399,0.50000,1.21681,50.00000,45.00000,0.33067,0.10000,0.13886,0.10000,0.10000,0.33067,0.10000,0.24612,0.15000,0.20000,0.33067,0.24612,0.10000,0.10000,0.10500,0.50000,0.50000,0.33067
16,0.10404,3.00000,0.05882,17.00000,0.06000,0.00000,0.17647,0.68540,50.00000,47.00000,0.10404,0.03333,0.00000,0.06000,0.06000,0.10404,0.00000,0.04259,0.05000,0.00000,0.10404,0.04259,0.06000,0.06000,0.01351,0.17647,0.08333,0.10404
17,0.32667,6.00000,0.25000,16.00000,0.12000,0.36005,0.37500,0.72160,50.00000,44.00000,0.32667,0.13333,0.29727,0.12000,0.12000,0.32667,0.30000,0.26546,0.20000,0.40000,0.32667,0.26546,0.12000,0.12000,0.11921,0.37500,0.50000,0.32667
18,0.20398,3.00000,0.09091,11.00000,0.06000,0.16958,0.27273,1.03560,50.00000,47.00000,0.20398,0.10000,0.11005,0.06000,0.06000,0.20398,0.10000,0.20398,0.10000,0.20000,0.20398,0.15814,0.06000,0.06000,0.05669,0.27273,0.33333,0.20398
19,0.54969,5.00000,0.45455,11.00000,0.10000,0.78601,0.45455,0.90909,50.00000,45.00000,0.54969,0.16667,0.58343,0.10000,0.10000,0.54969,0.50000,0.54969,0.25000,0.80000,0.54969,0.54969,0.10000,0.10000,0.35736,0.45455,1.00000,0.54969
20,1.00000,3.00000,1.00000,3.00000,0.06000,1.00000,1.00000,3.33333,50.00000,47.00000,1.00000,0.10000,1.00000,0.06000,0.06000,1.00000,0.30000,1.00000,0.15000,0.60000,1.00000,1.00000,0.06000,0.06000,1.00000,1.00000,1.00000,1.00000
21,0.52669,6.00000,0.18182,11.00000,0.12000,0.55315,0.54545,1.13572,50.00000,44.00000,0.52669,0.16667,0.35895,0.12000,0.12000,0.52669,0.20000,0.48871,0.20000,0.40000,0.52669,0.44221,0.12000,0.12000,0.25801,0.54545,1.00000,0.52669
22,0.78827,14.00000,0.70588,17.00000,0.28000,0.78601,0.82353,0.93839,50.00000,36.00000,0.78827,0.43333,0.72545,0.28000,0.28000,0.78827,0.70000,0.75974,0.65000,0.80000,0.78827,0.75974,0.28000,0.28000,0.60150,0.82353,1.00000,0.78827
23,0.93441,4.00000,0.75000,4.00000,0.08000,0.83187,1.00000,2.71154,50.00000,46.00000,0.93441,0.13333,0.83187,0.08000,0.08000,0.93441,0.30000,0.93441,0.20000,0.60000,0.93441,0.93441,0.08000,0.08000,0.82692,1.00000,1.00000,0.93441
24,0.27093,3.00000,0.07692,13.00000,0.06000,0.33916,0.23077,0.85682,50.00000,47.00000,0.27093,0.06667,0.22009,0.06000,0.06000,0.27093,0.10000,0.23452,0.10000,0.20000,0.27093,0.23452,0.06000,0.06000,0.09470,0.23077,1.00000,0.27093
25,0.34081,14.00000,0.00000,51.00000,0.28000,0.63995,0.27451,0.31052,50.00000,36.00000,0.34081,0.43333,0.54516,0.28000,0.28000,0.34081,0.50000,0.46553,0.40000,0.60000,0.34081,0.45568,0.28000,0.28000,0.13730,0.27451,1.00000,0.34081
26,0.25256,8.00000,0.16667,30.00000,0.16000,0.21399,0.26667,0.42965,50.00000,42.00000,0.25256,0.16667,0.26874,0.16000,0.16000,0.25256,0.30000,0.19166,0.25000,0.20000,0.25256,0.24941,0.16000,0.16000,0.07515,0.26667,0.50000,0.25256
27,0.42882,11.00000,0.31034,29.00000,0.22000,0.65481,0.37931,0.50548,50.00000,39.00000,0.42882,0.30000,0.49829,0.22000,0.22000,0.42882,0.40000,0.38764,0.40000,0.60000,0.42882,0.46274,0.22000,0.22000,0.19081,0.37931,1.00000,0.42882
28,0.83042,4.00000,0.80000,5.00000,0.08000,0.83042,0.80000,2.00000,50.00000,46.00000,0.83042,0.13333,0.83042,0.08000,0.08000,0.83042,0.40000,0.83042,0.20000,0.80000,0.83042,0.83042,0.08000,0.08000,0.71000,0.80000,1.00000,0.83042
29,0.33326,10.00000,0.21053,19.00000,0.20000,0.00000,0.52632,0.82091,50.00000,40.00000,0.33326,0.20000,0.06943,0.20000,0.20000,0.33326,0.10000,0.22101,0.25000,0.00000,0.33326,0.18856,0.20000,0.20000,0.11174,0.52632,0.12500,0.33326
30,0.34622,2.00000,0.25000,4.00000,0.04000,0.24630,0.50000,2.69643,50.00000,48.00000,0.34622,0.06667,0.24630,0.04000,0.04000,0.34622,0.10000,0.34622,0.10000,0.20000,0.34622,0.34622,0.04000,0.04000,0.16071,0.50000,0.50000,0.34622
31,0.74869,2.00000,0.50000,2.00000,0.04000,0.61315,1.00000,5.25000,50.00000,48.00000,0.74869,0.06667,0.61315,0.04000,0.04000,0.74869,0.10000,0.74869,0.05000,0.20000,0.74869,0.61315,0.04000,0.04000,0.54545,1.00000,1.00000,0.74869
32,0.67139,2.00000,0.33333,3.00000,0.04000,0.67139,0.66667,3.33333,50.00000,48.00000,0.67139,0.06667,0.67139,0.04000,0.04000,0.67139,0.20000,0.67139,0.10000,0.40000,0.67139,0.67139,0.04000,0.04000,0.50000,0.66667,1.00000,0.67139
