q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
33,0.27894,1.00000,0.00000,1.00000,0.02000,0.00000,1.00000,11.00000,50.00000,49.00000,0.27894,0.03333,0.00000,0.02000,0.02000,0.27894,0.00000,0.27894,0.05000,0.00000,0.27894,0.27894,0.02000,0.02000,0.09091,1.00000,0.09091,0.27894
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.47196,12.00000,0.40000,20.00000,0.24000,0.30079,0.60000,0.84259,50.00000,38.00000,0.47196,0.36667,0.27359,0.24000,0.24000,0.47196,0.30000,0.44427,0.40000,0.40000,0.47196,0.35161,0.24000,0.24000,0.23625,0.60000,0.33333,0.47196
37,0.29697,3.00000,0.16667,12.00000,0.06000,0.33916,0.25000,0.85284,50.00000,47.00000,0.29697,0.06667,0.29346,0.06000,0.06000,0.29697,0.20000,0.26181,0.10000,0.20000,0.29697,0.26181,0.06000,0.06000,0.11246,0.25000,1.00000,0.29697
38,0.23788,5.00000,0.06250,16.00000,0.10000,0.21399,0.31250,0.73496,50.00000,45.00000,0.23788,0.13333,0.13886,0.10000,0.10000,0.23788,0.10000,0.20568,0.05000,0.20000,0.23788,0.10333,0.10000,0.10000,0.06125,0.31250,0.50000,0.23788
39,0.36291,4.00000,0.25000,12.00000,0.08000,0.33916,0.33333,0.97222,50.00000,46.00000,0.36291,0.13333,0.29346,0.08000,0.08000,0.36291,0.20000,0.36291,0.20000,0.20000,0.36291,0.36291,0.08000,0.08000,0.14881,0.33333,1.00000,0.36291
40,0.53052,6.00000,0.20000,10.00000,0.12000,0.50874,0.60000,1.25204,50.00000,44.00000,0.53052,0.16667,0.33014,0.12000,0.12000,0.53052,0.20000,0.49111,0.20000,0.40000,0.53052,0.44246,0.12000,0.12000,0.25049,0.60000,1.00000,0.53052
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.20082,6.00000,0.14286,21.00000,0.12000,0.00000,0.28571,0.62423,50.00000,44.00000,0.20082,0.16667,0.07336,0.12000,0.12000,0.20082,0.10000,0.17561,0.15000,0.00000,0.20082,0.11921,0.12000,0.12000,0.04835,0.28571,0.14286,0.20082
43,0.29612,12.00000,0.29268,41.00000,0.24000,0.21399,0.29268,0.40000,50.00000,38.00000,0.29612,0.30000,0.28669,0.24000,0.24000,0.29612,0.30000,0.30086,0.35000,0.20000,0.29612,0.32826,0.24000,0.24000,0.10802,0.29268,0.50000,0.29612
44,0.44582,6.00000,0.23529,17.00000,0.12000,0.72273,0.35294,0.70316,50.00000,44.00000,0.44582,0.16667,0.46900,0.12000,0.12000,0.44582,0.30000,0.41510,0.20000,0.60000,0.44582,0.37976,0.12000,0.12000,0.22225,0.35294,1.00000,0.44582
45,0.51113,13.00000,0.23077,26.00000,0.26000,0.83042,0.50000,0.55258,50.00000,37.00000,0.51113,0.26667,0.53889,0.26000,0.26000,0.51113,0.40000,0.39617,0.25000,0.80000,0.51113,0.38012,0.26000,0.26000,0.23436,0.50000,1.00000,0.51113
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.14312,3.00000,0.08333,12.00000,0.06000,0.00000,0.25000,0.91388,50.00000,47.00000,0.14312,0.06667,0.06625,0.06000,0.06000,0.14312,0.10000,0.10715,0.10000,0.00000,0.14312,0.10715,0.06000,0.06000,0.02549,0.25000,0.11111,0.14312
49,0.41947,3.00000,0.25000,8.00000,0.06000,0.48523,0.37500,1.31875,50.00000,47.00000,0.41947,0.10000,0.36188,0.06000,0.06000,0.41947,0.20000,0.41947,0.15000,0.40000,0.41947,0.41947,0.06000,0.06000,0.20625,0.37500,1.00000,0.41947
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.00000,1.00000,1.00000,1.00000,0.02000,1.00000,1.00000,10.00000,50.00000,49.00000,1.00000,0.03333,1.00000,0.02000,0.02000,1.00000,0.10000,1.00000,0.05000,0.20000,1.00000,1.00000,0.02000,0.02000,1.00000,1.00000,1.00000,1.00000
58,0.46593,12.00000,0.36667,30.00000,0.24000,0.69921,0.40000,0.49603,50.00000,38.00000,0.46593,0.36667,0.58679,0.24000,0.24000,0.46593,0.50000,0.44594,0.45000,0.60000,0.46593,0.51823,0.24000,0.24000,0.22678,0.40000,1.00000,0.46593
59,0.29812,9.00000,0.20930,43.00000,0.18000,0.78601,0.20930,0.27325,50.00000,41.00000,0.29812,0.23333,0.58343,0.18000,0.18000,0.29812,0.50000,0.33698,0.25000,0.80000,0.29812,0.37653,0.18000,0.18000,0.11552,0.20930,1.00000,0.29812
60,0.35890,11.00000,0.18519,27.00000,0.22000,0.38357,0.40741,0.50676,50.00000,39.00000,0.35890,0.16667,0.32227,0.22000,0.22000,0.35890,0.30000,0.22542,0.25000,0.40000,0.35890,0.27376,0.22000,0.22000,0.12604,0.40741,0.50000,0.35890
61,0.61401,17.00000,0.38710,31.00000,0.34000,1.00000,0.54839,0.52365,50.00000,33.00000,0.61401,0.40000,0.79095,0.34000,0.34000,0.61401,0.70000,0.52688,0.55000,1.00000,0.61401,0.65424,0.34000,0.34000,0.37419,0.54839,1.00000,0.61401
62,0.04753,1.00000,0.00000,8.00000,0.02000,0.00000,0.12500,1.28526,50.00000,49.00000,0.04753,0.00000,0.00000,0.02000,0.02000,0.04753,0.00000,0.00000,0.00000,0.00000,0.04753,0.00000,0.02000,0.02000,0.00321,0.12500,0.02564,0.04753
63,0.66135,9.00000,0.41667,12.00000,0.18000,0.65481,0.75000,1.06309,50.00000,41.00000,0.66135,0.20000,0.50332,0.18000,0.18000,0.66135,0.40000,0.54925,0.30000,0.60000,0.66135,0.54925,0.18000,0.18000,0.37443,0.75000,1.00000,0.66135
