descriptions description
calgary calgarys
pacifics pacific
sample samples
biscuit biscuits
stem stems
suffragan suffragans
sectional sectionals
swimmers swimmer
inn inns
billionaire billionaires
prefecture prefectures
evangelists evangelist
legislatures legislature
bedrooms bedroom
diesels diesel
roms rom roma
trail trails
operations operation
buchanans buchanan
outfalls outfall
dick dicks
substitution substitutions
differential differentials
grevillea grevilleas
ukrainians ukrainian
arms arm
gilberts gilbert
kitchens kitchen
relegation relegations
premiers premier
bede bedes
tort torts
roller rollers
etruscans etruscan
nits nit
tl tls
northward northwards
depictions depiction
tomato tomatoes
stand stands
saudi saudis
bests best
nouns noun
canards canard
airports airport
invasions invasion
destinations destination
weisss weiss weis wei
tantra tantras
snout snouts
jacobite jacobites
lawns lawn
digits digit
societies societys society
three threes
bathhouses bathhouse
wharves wharf wharfs
lyon lyons
monarch monarchs
authority authorities authoritys
tenders tender
sawyer sawyers
stint stints
zhou zhous
canals canal
distributors distributor
finisher finishers
partners partner
cormorants cormorant
holidays holiday
bender benders
schizophrenias schizophrenia
petal petals
republican republicans
heterosexuals heterosexual
sikhisms sikhism
narrative narratives
ventriloquists ventriloquist
livonian livonians
spectres spectre
motorway motorways
simon simons
ell ells
seers seer
flaps flap
timekeepers timekeeper
ruby rubys
fullbacks fullback
someones someone
barge barges
catfishes catfish
herons heron
unicorns unicorn
snakes snake
law laws
antioxidants antioxidant
crocodiles crocodile
blizzards blizzard
estuary estuaries
ferrets ferret
nick nicks
councils council
watts watt
airliness airline airlines
stamps stamp
exception exceptions
figures figure
miami miamis
guinea guineas
badge badges
pelicans pelican
victory victories
aquariums aquaria aquarium
ascetics ascetic
linebackers linebacker
golfer golfers
patrons patron
herrs herr
baums baum
porpoises porpoise
herald heralds
thieves thief thiefs
clays clay
galleries gallery
hornbills hornbill
quakers quaker
roof roofs
chores chore
beings being
climb climbs
pioneer pioneers
chronometer chronometers
rabbi rabbis
o os
mexicos mexico
canvas canvass canvases
disappearance disappearances
channels channel
hackneys hackney
ds d
logos logo
reactors reactor
biographies biography
constituency constituencies
coordinate coordinates
clasp clasps
leibniz leibnizs
constitutions constitution
demonstrators demonstrator
swipes swipe
gentlemans gentlemen gentlemens gentleman
menaces menace
weeknights weeknight
shoes shoe
peasants peasant
chains chain
lowers lower
sedative sedatives
studios studio
earring earrings
desktops desktop
millionaire millionaires
symposium symposia
telecom telecoms
curlers curler
ligand ligands
disneyland disneylands
agency agencys agencies
pc pcs
fissure fissures
informations information
ieds ied
graham grahams
oscars oscar
clydes clyde
conqueror conquerors
proceedings proceeding
key keys
daytimes daytime
pick picks
polygraphs polygraph
africas africa
briss bris
leak leaks
preserve preserves
experts expert
worker workers
vacuums vacuum
economist economists
loads load
lease leases
emission emissions
disaster disasters
head heads
proponents proponent
pantheon pantheons
prospect prospects
flame flames
diary diaries
proms prom
ricardo ricardos
openers opener
rivera riveras
educationists educationist
soybeans soybean
hates hate
viper vipers
arabs arab
escort escorts
es e
human humans
salvadorans salvadoran
habitat habitats
frogs frog
sources source
junior juniors
boiler boilers
abbots abbot
quadrilateral quadrilaterals
lathes lathe
davy davys daviess davies
greene greenes
deviations deviation
living livings
rally rallies
melody melodies
rbcs rbc
stilts stilt
prohibitions prohibition
press presss presses
biologist biologists
establishment establishments
quarks quark
burkes burke
garage garages
pea peas pease
billys billy billies
broadcasting broadcastings
nutrients nutrient
defense defenses
fishery fisheries
capybara capybaras
fascist fascists
euphemism euphemisms
sulfides sulfide
opposites opposite
adss ad ads
kisses kiss
implements implement
elevator elevators
impressionist impressionists
story stories storys
calculators calculator
metal metals
strength strengths
sovereign sovereigns
stone stones
vehicles vehicle
multiplicities multiplicity
falls fall
mythologies mythology
transformations transformation
australians australian
starling starlings
spot spots
secretaries secretary secretarys
drummers drummer
valves valve
retailers retailer
presenter presenters
independent independents
injury injuries
brighton brightons
thousands thousand
palette palettes
congregations congregation
philippines philippine
goddess goddesses
pidgins pidgin
alps alp
amigos amigo
tune tunes
radios radio
galaxy galaxies
gloss glosses
monarchys monarchy monarchies
newmans newman
inquests inquest
oaklands oakland
vi vis
enss en ens
arguments argument
christies christie
anxiolytics anxiolytic
antidotes antidote
wilson wilsons
blackout blackouts
sodoms sodom
license licenses
filament filaments
mansions mansion
construction constructions
estate estates
balances balance
restorations restoration
pancakes pancake
swim swims
anthers anther
thermoplastics thermoplastic
flier fliers
spartas sparta
burns burn
dependants dependant
occupations occupation
theologians theologian
escudos escudoss escudo
shogunate shogunates
skiers skier
asteroid asteroids
rescue rescues
suspects suspect
arcs arc
ambassadors ambassador
seconds second
ova ovum
stresses stress
brainpowers brainpower
stein steins
eve eves
guidelines guideline
wizard wizards
daggers dagger
plots plot
persecutions persecution
resident residents
phantoms phantom
empires empire
bobsled bobsleds
respects respect
kibbutzim kibbutz
metabolites metabolite
germen german germans
expressions expression
pianist pianists
dawson dawsons
row rows
crusade crusades
bills bill
settlements settlement
incas inca
struts strut
days day
agents agent
credential credentials
luzon luzons
stage stages
sequoia sequoias
papilla papillae
apples apple
debussy debussys
patsys patsy
eugenes eugene
revenue revenues
matthew matthews
advertisements advertisement
sneezes sneeze
crossroads crossroad
present presents
filmmakers filmmaker
volume volumes
students student
momentum momenta
damage damages
motors motor
menuhin menuhins
specimen specimens
corellis corelli
clan clans
fellowships fellowship
abduction abductions
whigs whig
snails snail
transaction transactions
hudsons hudson
serifs serif
andrew andrews
moms mom
noahs noah
mystery mysteries
attacks attack
patent patents
language languages
announcements announcement
gambits gambit
knives knife
licence licences
gm gms
landmarks landmark
legion legions
harmonicas harmonica
austrians austrian
page pages
authors author
real reals reales reis
sentiment sentiments
fact facts
diets diet
mestizos mestizo
galleon galleons
couples couple
women womans womens woman
interview interviews
ankylosaurs ankylosaur
crown crowns
trajectory trajectories
golan golans
shirts shirt
tabs tab
trailheads trailhead
cereals cereal
malaysia malaysias
airplane airplanes
playgrounds playground
ancestors ancestor
clerics cleric
workshops workshop
paleontologists paleontologist
foreigners foreigner
valkyrie valkyries
payloads payload
mens men
colts colt
modems modem
barbecue barbecues
rep reps
bellerophons bellerophon
trainees trainee
sanctuaries sanctuary
lipids lipid
jaeger jaegers
botswanas botswana
arum arums
freeways freeway
sheet sheets
galley galleys
shed sheds
c cs
townships township
eruptions eruption
crusader crusaders
stanford stanfords
takes take
sensations sensation
lancasters lancaster
corporations corporation
watershed watersheds
props prop
representations representation
decahedron decahedrons
contest contests
evenk evenks
primuss primus
smell smells
review reviews
groups group
world worlds
egg eggs
cheetah cheetahs
nucleons nucleon
lira lire
helots helot
defender defenders
dewar dewars
androids android
anacondas anaconda
phoenix phoenixs
flautist flautists
victim victims
attachment attachments
lifeboat lifeboats
designer designers
proteins protein
currencies currency
monastic monastics
lilos lilo
ranches ranchs ranch
proposal proposals
