descriptions description
parade parades
kills kill
richs rich riches
renovation renovations
jubilees jubilee
escapement escapements
intensities intensity
eigenvalue eigenvalues
investment investments
harveys harvey
confederations confederation
tram trams
thursday thursdays
surprise surprises
emirate emirates
relative relatives
addition additions
elijah elijahs
airfield airfields
trailers trailer
shelter shelters
irelands ireland
pots pot
editorial editorials
arboretum arboreta
readers reader
musics music
anteaters anteater
kelly kellys
albanians albanian
tabloids tabloid
feathers feather
hannibals hannibal
weed weeds
residences residence
beach beaches beachs
affections affection
coppolas coppola
cooke cookes
dominicans dominican
pds pd
website websites
freedom freedoms
kidneys kidney
souvenirs souvenir
gentile gentiles
rickshaw rickshaws
nelson nelsons
chalks chalk
imports import
carbohydrate carbohydrates
adverts advert
saxophone saxophones
atom atoms
coordinator coordinators
dwelling dwellings
pierres pierre
discs disc
boer boers
limousines limousine
trumans truman
trespasses trespass
launchers launcher
algebra algebras
integrals integral
notess note notes
dial dials
entry entries
choppers chopper
courier couriers
whalers whaler
civilisation civilisations
weekday weekdays
destroyer destroyers
darling darlings
minds mind
rotations rotation
telephones telephone
captive captives
girlfriend girlfriends
bulls bull
chorus choruses
anthropologist anthropologists
maltas malta
spitfires spitfire
jis ji
arbalest arbalests
veins vein
dervishes dervish
lenas lena
inquisitions inquisition
tick ticks
dj djs
nominations nomination
humorist humorists
knocks knock
stripe stripes
ridge ridges
fringe fringes
majestys majesty
properties propertys property
bets bet
soul souls
criterion criteria
worms worm
dobbins dobbin
frees free
shafts shaft
sleds sled
talkies talkie
bath baths
baghdads baghdad
sheens sheen
strongholds stronghold
godmothers godmother
puppy puppies
feature features
educations education
coyote coyotes
penguins penguin
popper poppers
tamarin tamarins
hoover hoovers
monks monk
broadcaster broadcasters
principal principals
fractal fractals
lets let
honour honours
orange oranges
god gods
mold molds
hotels hotel
inequality inequalities
afl afls
urls url
blasphemy blasphemies
diagnoses diagnosis
ceramics ceramic
formulation formulations
archangel archangels
philanthropies philanthropy
wares ware
reprint reprints
cascade cascades
traffic traffics
dui duos duo
draw draws
make makes
billboard billboards
nerve nerves
westerns western
iraqis iraqi
doodlebugs doodlebug
runs run
objection objections
wrappers wrapper
pageants pageant
album albums albumss
jasons jason
table tables
gibsons gibson
yell yells
bit bits
rolls roll
exemptions exemption
strikeout strikeouts
command commands
sleeves sleeve
main mains
brewery breweries brewerys
mallet mallets
uriahs uriah
analogs analog
objective objectives
niches niche
takings taking
fruit fruits
talks talk
skinheads skinhead
rugs rug
packaging packagings
scotlands scotland
dickens dickenss
axle axles
grosses gross
cladogram cladograms
raccoon raccoons
approval approvals
approximation approximations
weber webers
wasps wasp
sauces sauce
treks trek
gift gifts
caesars caesar
theme themes
ceiling ceilings
cymbals cymbal
farmer farmers
jerrys jerry
insertions insertion
anions anion
aqueducts aqueduct
philosophies philosophy
standpoint standpoints
magnetos magneto
transfers transfer
sens sen
businesses business
arrow arrows
nawab nawabs
fillings filling
herman hermans
bullet bullets
shipwreck shipwrecks
briars briar
gliders glider
arch arches
wall walls
alert alerts
conception conceptions
glides glide
mrta mrtas
separates separate
ages age
coefficient coefficients
wilmington wilmingtons
taylor taylors
circus circuss circuses
aunts aunt
check checks
cartoonists cartoonist
store stores
incomes income
pearls pearl
climber climbers
bureaucracy bureaucracies
regions region
flip flips
role roles
agreements agreement
behavior behaviors
simenons simenon
knockouts knockout
griot griots
lagoon lagoons
comic comics
violinist violinists
cancers cancer
landfall landfalls
tax taxes
extraction extractions
contributors contributor
insight insights
missionary missionaries
websters webster
bursts burst
pleats pleat
attribute attributes
handel handels
slang slangs
facility facilities
whitings whiting
city citys cities
armstrong armstrongs
poor poors
chemical chemicals
workhouse workhouses
lisbon lisbons
karloffs karloff
senate senates
engine engines
sister sisters
ghoul ghouls
dirhams dirham
mas ma
edisons edison
bubble bubbles
fornications fornication
maxwell maxwells
stuart stuarts
calibres calibre
difference differences
rowers rower
cleanings cleaning
ban bani bans
fasciae fascia
repeals repeal
classifier classifiers
talent talents
revocation revocations
berliners berliner
mendelssohns mendelssohn
rooks rook
equestrian equestrians
strangers stranger
rigs rig
scream screams
gulls gull
pressures pressure
crests crest
vermouth vermouths
toms tom
celebrity celebritys celebrities
herschel herschels
waterway waterways
deltas delta
cuckoos cuckoo
nominees nominee
cichlid cichlids
rocket rockets
players player
heaps heap
telugu telugus
emmy emmys
manufacture manufactures
recruits recruit
medallists medallist
offering offerings
pharmacologist pharmacologists
lecturers lecturer
nematodes nematode
kittens kitten
zag zags
fitzgeralds fitzgerald
rhino rhinos
collaborator collaborators
garrison garrisons
postgraduate postgraduates
custom customs
permits permit
photographers photographer
possession possessions
in ins
pal pals
viewpoints viewpoint
so sos
parentheses parenthesis
backpacks backpack
athlete athletes
pakistan pakistans
solicitors solicitor
sunscreen sunscreens
ps p
plebiscite plebiscites
toes toe
virtuoso virtuosi
cays cay
ri ris
pompey pompeys
doctors doctor
hawks hawk
rs r rss
pagan pagans
carpets carpet
ibo igbo igbos
piano pianos
flares flare
impacts impact
china chinas
affects affect
stool stools
epochs epoch
clusters cluster
holdings holding
coaches coach
aim aims
herbs herb
subscribers subscriber
introductions introduction
scores score
screen screens
foci focus focuses
shoulder shoulders
address addresses
express expresses
decs dec
underwriter underwriters
nonconformists nonconformist
portables portable
preference preferences
engraver engravers
manifolds manifold
specific specifics
leg legs
expense expenses
scs scss sc
olmec olmecs
supermarket supermarkets
mondays monday
q qs
laymans laymen layman
scot scots
thunders thunder
prototypes prototype
involutions involution
serials serial
siskin siskins
initiatives initiative
homosexualities homosexuality
equals equal
rank ranks
deployments deployment
robots robot
regime regimes
wiess wies wy
bass basses
debtor debtors
rapper rappers
original originals
troopers trooper
buoys buoy
westminsters westminster
stops stop
funding fundings
negative negatives
conflicts conflict
impersonator impersonators
vulcans vulcan
fuel fuels
opinions opinion
anaheim anaheims
limitation limitations
testing testings
listing listings
harmonic harmonics
eagles eagle
reserve reserves
amazons amazon
trusts trust
lifetimes lifetime
manager managers
muslims muslim
gangsters gangster
afghans afghan
shells shell
spires spire
ixias ixia
enlightenments enlightenment
grandpas grandpa
zulu zulus
buy buys buies
franc francs
operator operators
sympathies sympathy
schmidt schmidts
venture ventures
sullivan sullivans
sciences science
springfield springfields
oriole orioles
instrument instruments
flats flat
details detail
coteries coterie
cartoon cartoons
logicians logician
incumbent incumbents
hammers hammer
handbook handbooks
physicist physicists
citations citation
pipeline pipelines
barrios barrio
capetians capetian
vineyards vineyard
advantage advantages
receptors receptor
subsection subsections
gadget gadgets
platys platy
westons weston
projector projectors
adelaides adelaide
thinker thinkers
stratus stratuss
mural murals
speer speers
goofs goof
guide guides
graf graves grafen
boston bostons
sa sas
buntings bunting
value values
grizzlies grizzlys grizzly
southward southwards
he hes
spain spains
changes change
mrnas mrna
tributaries tributary
broadcasts broadcast
screenplays screenplay
clients client
neologism neologisms
bivalve bivalves
cover covers
cowboy cowboys
sage sages
west wests
commune communes
polymorphisms polymorphism
electrons electron
bavarians bavarian
supercomputers supercomputer
duet duets
detainee detainees
wagons wagon
medal medals
checkpoints checkpoint
combine combines
handlers handler
bachs bach baches
server servers
rulers ruler
teaches teach
protestants protestant
evidences evidence
onyxs onyx
type types
realm realms
tribes tribe
loft lofts
jurisdiction jurisdictions
tango tangos
hebrew hebrews
groom grooms
bulgarian bulgarians
palaces palace
muons muon
fist fists
illnesses illness
roost roosts
seeds seed
reddings redding
wager wagers
officers officer
bar bars
verses verse
chechnyas chechnya
travels travel
commandery commanderies
more mores
theropod theropods
varieties variety
projectile projectiles
exercise exercises
oxidoreductases oxidoreductase
justifications justification
signatures signature
pitch pitches
inputs input
payment payments
patrol patrols
remakes remake
campaigns campaign
generation generations
taps tap
chasers chaser
forewings forewing
boone boones
slovaks slovak
supply supplies
printer printers
sikh sikhs
companion companions
tail tails
olympiads olympiad
elect elects
tactics tactic
chase chases
restraint restraints
philologist philologists
broker brokers
preservations preservation
meals meal
riot riots
shares share
arcades arcade
payoffs payoff
pack packs
life lives lifes
orion orions
natures nature
faith faiths
georgias georgia
battle battles
lutheran lutherans
drums drum
retrials retrial
vitamins vitamin
frame frames
monument monuments
galas gala
lasers laser
conventicle conventicles
kas ka
occurrence occurrences
fife fifes
hub hubs
scriptures scripture
vices vice
provocation provocations
agss ag ags
campbell campbells
boyfriends boyfriend
crossovers crossover
modes mode
outlet outlets
downings downing
curry currys
prankster pranksters
markings marking
nationality nationalities
workings working
plazas plaza
snowboarders snowboarder
nc ncss ncs
pushkin pushkins
straws straw
shootouts shootout
somersets somerset
landau landaus
orchard orchards
sting stings
peruvian peruvians
session sessions
produces produce
comes come
directors director
arrests arrest
fires fire
portions portion
childs child children
foodstuff foodstuffs
dormitory dormitories
shortcomings shortcoming
academys academies academy
win wins
funds fund
kilometers kilometer
goal goals
wrangler wranglers
grands grand
syrian syrians
policemans policeman policemen
rainforests rainforest
territory territories territorys
howards howard
gas gasses gases
numbers number
nut nuts
overture overtures
battery batterys batteries
thcs thc
complexes complexs complex
tornadoes tornado
lace laces
girdle girdles
homepage homepages
utilities utilitys utility
dances dance
universals universal
van vans
zionist zionists
armorys armory
railways railway
narcotics narcotic
lugosi lugosis
transporters transporter
sinclair sinclairs
carolinas carolina
animal animals
cosmetic cosmetics
quarter quarters
universe universes
malaysian malaysians
fee fees
recreations recreation
nicholass nicholas
kidnapping kidnappings
england englands
promotions promotion
tenor tenors
search searches
daughters daughter
periodical periodicals
treaties treaty
prisons prison
polymer polymers
sutra sutras
casinos casino
kneel kneels
alfalfas alfalfa
hound hounds
aucklands auckland
hatchling hatchlings
equation equations
columns column
buttons button
goldmans goldman
lowland lowlands
sacrifice sacrifices
carrolls carroll
temptation temptations
babbler babblers
lydia lydias
transitions transition
skyscrapers skyscraper
johnston johnstons
autograph autographs
blairs blair
xv xvs
ophthalmologist ophthalmologists
theorems theorem
wicket wickets
grains grain
australia australias
binaries binary
entrance entrances
cruisers cruiser
papacys papacy
colorados colorado
royalties royalty
balls ball
claim claims
instinct instincts
chief chiefs
chomsky chomskys
queenslands queensland
influence influences
penalty penalties
orbit orbits
documents document
ones one
zeroes zeros zero
firsts first
safety safeties
schulz schulzs
overlords overlord
tempo tempos tempi
restriction restrictions
ancients ancient
theorists theorist
warlock warlocks
lacks lack
hood hoods
harmony harmonies
successors successor
connotation connotations
stepfathers stepfather
printings printing
lineups lineup
core cores
trumpet trumpets
editors editor
assassinations assassination
winds wind
reporters reporter
engineer engineers
astrologers astrologer
jackets jacket
committees committee
jonathan jonathans
greens green
time times
charts chart
goebbels goebbelss
bees bee
iss i
ballot ballots
corvettes corvette
tics tic
rabbits rabbit
trolley trolleys
accountant accountants
wine wines
coot coots
geography geographies
grandfather grandfathers
quails quail
gecko geckos
sports sport
boots boot
trusses truss
soloists soloist
moral morals
amphibians amphibian
dominion dominions
mentors mentor
auditorium auditoriums
madams madam
townsend townsends
turkey turkeys
parameter parameters
sikorsky sikorskys
terrace terraces
word words
truce truces
sketches sketch
daisy daisies
hogarth hogarths
duck ducks
lighthouse lighthouses
neuron neurons
funny funnies
aromas aroma
ray rays
endpoints endpoint
legumes legume
inspection inspections
amendment amendments
londons london
larks lark
subs sub
affiliates affiliate
sonatas sonata
scholars scholar
watercolour watercolours
ordinary ordinaries
selections selection
liverpools liverpool
doubleheader doubleheaders
spring springs
today todays
foster fosters
manticores manticore
usas usa
au aus
peninsulas peninsula
speciality specialities
wichitas wichita
molecule molecules
fear fears
bushes bush bushs
expulsions expulsion
dreamer dreamers
defaults default
effluent effluents
harpers harper
seamen seamans seaman
recruiters recruiter
study studies
neuropathy neuropathies
douglas douglass
shapes shape
stereotypes stereotype
grammar grammars
intestine intestines
oaths oath
condemnations condemnation
graphic graphics
shakespeare shakespeares
line lines
ottomans ottoman
clarinet clarinets
ohmmeter ohmmeters
prayers prayer
napoleon napoleons
accords accord
receivers receiver
kleins klein
declarer declarers
tobys toby
slav slavs
grammarians grammarian
cameras camera
annas anna
registrations registration
postman postmans
costumes costume
opportunities opportunity
song songs
roundabout roundabouts
emersons emerson
discussions discussion
lloyds lloyd
sarcophagi sarcophagus
strands strand
audience audiences
booth booths
journalist journalists
suit suits
remarks remark
center centers
affinities affinity
kettles kettle
gymnast gymnasts
shutouts shutout
positive positives
penelopes penelope
baronesses baroness
rule rules
ehrlichs ehrlich
hats hat
diacritics diacritic
lp lps
traffickers trafficker
panel panels
slave slaves
warship warships
spectators spectator
pretender pretenders
rifle rifles
minorities minority
brine brines
raid raids
submissions submission
bomb bombs
shipyards shipyard
smart smarts
anchor anchors
flight flights
dividend dividends
lectins lectin
colors color
wagner wagners
mankind mankinds
yeats yeatss
monsters monster
horrors horror
discographies discography
coma comas
heretic heretics
publicists publicist
humanitarian humanitarians
missouri missouris
hand hands
windings winding
foot feet foots
sleuths sleuth
balloons balloon
defensive defensives
tia tias
agendas agenda
mechanism mechanisms
two twos
offense offenses
reach reaches
obstacles obstacle
servo servos
baron barons
romans roman
goose gooses geese
trouser trousers
centurys century centuries
amounts amount
filers filer
browns brown
subsidiary subsidiaries
stake stakes
manitoba manitobas
employ employs
ropes rope
kingdom kingdoms
tricksters trickster
worth worths
cutters cutter
vcrs vcr
surgeries surgery
educators educator
fill fills
volts volt
cockatoos cockatoo
developments development
sidekick sidekicks
laos lao
cesspools cesspool
barque barques
red reds
internationals international
proofs proof
windshield windshields
parallel parallels
posteriors posterior
plaths plath
mistresses mistress
skateboarder skateboarders
munichs munich
rhapsodys rhapsody
airs air
neighborhoods neighborhood
dog dogs
risk risks
halls hall
concert concerts
undergraduates undergraduate
everts evert
bolt bolts
pods pod
wands wand
columellas columella
caucuses caucus
coolidge coolidges
kit kits
bite bites
mosques mosque
mp mps
extrusions extrusion
highness highnesses
rouge rouges
genealogist genealogists
piston pistons
game games
hungarians hungarian
vegas vega
nebulas nebula nebulae
seaports seaport
hoosier hoosiers
cassettes cassette
philanthropists philanthropist
colons colon
gamecocks gamecock
cassandras cassandra
covenants covenant
dwarfs dwarves dwarf
powder powders
wait waits
determinations determination
interface interfaces
vultures vulture
stimuli stimulus
toilets toilet
deal deals
freshmen freshman
labor labors
lips lip
penn penns
owls owl
acoustic acoustics
ideology ideologies
parks park
ascender ascenders
trustees trustee
tubule tubules
maharaja maharajas
fortifications fortification
postmaster postmasters
viking vikings
entities entity
lightweights lightweight
maxs max
hanumans hanuman
narrator narrators
baba babas
memorials memorial
exhibition exhibitions
keepers keeper
mercenaries mercenary
bobs bob
firm firms
cephalopod cephalopods
shampoos shampoo
naturalist naturalists
catcher catchers
norway norways
touchdowns touchdown
baronies barony
prosecutors prosecutor
sociologist sociologists
clinch clinches
guis gui
semester semesters
panther panthers
preparation preparations
birth births
nato natos
subunit subunits
subdivision subdivisions
poisoning poisonings
semites semite
rhododendrons rhododendron
fiji fijis
trucks truck
gymnasiums gymnasia gymnasium
wharton whartons
constant constants
parties partys party
prisoner prisoners
primary primaries
fabric fabrics
sitcom sitcoms
intellectual intellectuals
ivs iv
splits split
mission missions
majorette majorettes
capitalist capitalists
dorms dorm
taste tastes
motorcycle motorcycles
sluggers slugger
punters punter
wolves wolfs wolf
elbows elbow
cooperative cooperatives
assists assist
siblings sibling
hamlets hamlet
marker markers
accelerators accelerator
telescopes telescope
graces grace
septa septum
premieres premiere
swamps swamp
countys county counties
exposures exposure
vault vaults
bulgaria bulgarias
applicant applicants
fragment fragments
skaters skater
hessian hessians
rome romes
exploits exploit
bucks buck
teen teens
microbalances microbalance
hoists hoist
savings saving
repulsion repulsions
bachelor bachelors
fountains fountain
gospels gospel
congressman congressmen congressmans
dormouse dormice
mathematician mathematicians
flash flashes
daniels daniel
harms harm
antiquarian antiquarians
arnolds arnold
ribbon ribbons
dealer dealers
miniatures miniature
scintillation scintillations
carsons carson
dune dunes
fortune fortunes
joints joint
columbia columbias
drones drone
genome genomes
jeep jeeps
rippers ripper
noblewomen noblewoman
improvements improvement
turtle turtles
gowns gown
idol idols
abbey abbeys
newss news
dvds dvd
conference conferences
sondheim sondheims
performer performers
careers career
rodent rodents
pigs pig
decree decrees
hawthorn hawthorns
delegate delegates
route routes
tracts tract
moon moons
displacements displacement
voices voice
megapodes megapode
grandad grandads
doorbells doorbell
error errors
toss tosses
reliefs relief
alumnae alumna
conquest conquests
holes hole
grieves griefs grief
sufis sufi
spy spies
open opens
sand sands
winners winner
tenement tenements
renditions rendition
assumption assumptions
clairvoyants clairvoyant
lyricists lyricist
gemmule gemmules
pixels pixel
liar liars
paramilitaries paramilitary
economys economies economy
chamberlains chamberlain
creoles creole
homosexuals homosexual
aces ace
franks frank
wrecks wreck
headmasters headmaster
woodcock woodcocks
ethiopias ethiopia
bethune bethunes
rents rent
voter voters
regulators regulator
analysis analyses
crossings crossing
sights sight
meter meters
queens queen
marmoset marmosets
semifinals semifinal
snipe snipes
kennedy kennedys
batsman batsmens batsmen
sockets socket
clock clocks
league leagues
image images
chicago chicagos
reviewer reviewers
shadows shadow
grant grants
leicester leicesters
meets meet
martis marti
erythrocyte erythrocytes
sundays sunday
heats heat
lakes lake
spaceship spaceships
hitter hitters
lifts lift
saturdays saturday
duces duce
anthony anthonys
staircases staircase
columnists columnist
virginias virginia
hunters hunter
tribune tribunes
austin austins
percy percies
salutes salute
anticonvulsant anticonvulsants
volcano volcanoes
cortina cortinas
squadron squadrons
recipient recipients
franciscan franciscans
rationals rational
fumble fumbles
agamemnons agamemnon
attendants attendant
courbet courbets
ibis ibises
moynihans moynihan
variations variation
dominicas dominica
executives executive
navies navys navy
cpa cpas
collision collisions
savages savage
rebecca rebeccas
elf elves
nothings nothing
pda pdas
corner corners
advisors advisor
quartet quartets
notice notices
anapsid anapsids
bouts bout
reservoir reservoirs
trainings training
glasgows glasgow
panzers panzer
statue statues
subclass subclasses
biases bias
kingfishers kingfisher
doll dolls
astronomers astronomer
patriarchs patriarch
craft crafts
strokes stroke
fin fins
teams team
bodyguard bodyguards
vacation vacations
mistake mistakes
paragraph paragraphs
variables variable
refuge refuges
slides slide
hill hills
tillich tillichs
radiographer radiographers
liberal liberals
problems problem
iran irans
fords ford
purpose purposes
ballet ballets
commodities commodity
garnets garnet
icons icon
frauds fraud
sequel sequels
vocalists vocalist
templates template
blades blade
venoms venom
conductor conductors
adolescents adolescent
door doors
heavyweights heavyweight
correlation correlations
security securities
ceremony ceremonies
royal royals
wheelers wheeler
avocet avocets
dub dubs
question questions
mouse mice
factors factor
bankers banker
coral corals
acetal acetals
lebanons lebanon
controversies controversy
encounter encounters
aba abas
push pushes
werewolfs werewolves werewolf
bustard bustards
notables notable
circumscriptions circumscription
magnet magnets
doves dove
multiplex multiplexes
tarantinos tarantino
huguenots huguenot
organ organs
assailants assailant
marques marque
jockeys jockey
russias russia
reagans reagan
kiln kilns
rival rivals
processes process
skeptics skeptic
seals seal
ptolemies ptolemys ptolemy
dens den
blakess blake blakes
enhancements enhancement
versions version
speeds speed
dummy dummys dummies
regulations regulation
mortar mortars
norms norm
gondoliers gondolier
bacterias bacteria
challengers challenger
thrones throne
kittiwake kittiwakes
tapings taping
monkey monkeys
mailmans mailman
does doe
valentine valentines
sherman shermans
footballs football
extension extensions
heros hero heroes
gb gbs
sewards seward
executioners executioner
acres acre
soup soups
principalitys principality principalities
refund refunds
negros negro negroes
antennas antenna antennae
muir muirs
protease proteases
europes europe
designs design
hayek hayeks
dependent dependents
rod rods
leathers leather
b bs
designations designation
drivers driver
demons demon
parrys parry
cousin cousins
moors moor
kite kites
empress empresses
alis ali
epicureans epicurean
harvard harvards
gardiner gardiners
ceratosaur ceratosaurs
bonapartes bonaparte
technology technologies technologys
jussieu jussieus
nova novas novae
incident incidents
scarab scarabs
week weeks
mauls maul
jat jats
misunderstandings misunderstanding
tags tag
ratio ratios
controllers controller
find finds
plateaus plateau plateaux
crowd crowds
wrestle wrestles
cannonballs cannonball
prakrit prakrits
elses el els
muscle muscles
portrait portraits
peak peaks
mouth mouths
tamanduas tamandua
stephen stephens
oaks oak
flexors flexor
catalogue catalogues
solids solid
storm storms
louis louiss
program programss programs
mascot mascots
alphabet alphabets
vernes verne
interceptor interceptors
pas pa
laugh laughs
federations federation
losses loss
legends legend
virologists virologist
dean deans
domains domain
fixture fixtures
males male
chargers charger
bergmans bergman
sort sorts
pesticide pesticides
divorce divorces
maoris maori
spiegel spiegels
sizes size
savanna savannas
survivors survivor
deviant deviants
report reports
notions notion
cabs cab
bantamweights bantamweight
mediums media medium
mint mints
practice practices
boundary boundaries
homer homers
burbank burbanks
tilt tilts
corbetts corbett
enemy enemies enemys
dimple dimples
lawyers lawyer
switcher switchers
camps camp
tracks track
ossuarys ossuary ossuaries
euphoniums euphonium
tuck tucks
contours contour
anglicans anglican
nazis nazi
cabinet cabinets
pennants pennant
modifier modifiers
helsinki helsinkis
equivalents equivalent
excesses excess
lieutenants lieutenant
squirrels squirrel
wards ward
culture cultures
griffin griffins
densities density
manifestations manifestation
killjoy killjoys
kilometre kilometres
links link
warrant warrants
fly flies
smoothbores smoothbore
hearing hearings
surgeons surgeon
ferns fern
favourite favourites
imperials imperial
backgrounds background
misquotations misquotation
petition petitions
employees employee
ospreys osprey
whales whale
fasts fast
orlando orlandos
cathedrals cathedral
insurgent insurgents
nursery nurseries
savoyards savoyard
noises noise
critic critics
habsburgs habsburg
na nas nass
elders elder
parents parent
viii viiis
champion champions
prices price
montanas montana
molar molars
soundtracks soundtrack
imaginations imagination
tithe tithes
tires tire
principles principle
vial vials
js j
interventions intervention
right rights
wu wus
ruths ruth
moldovas moldova
polyesters polyester
machines machine
explanation explanations
brahmana brahmanas
tendency tendencies
masts mast
premium premiums
area areas
civilizations civilization
castaways castaway
cornerback cornerbacks
hides hide
baileys bailey
tourettes tourette
labours labour
histones histone
locomotive locomotives
dries dry
brent brents
indicators indicator
louisiana louisianas
pilot pilots
faults fault
elizabeth elizabeths
shamrocks shamrock
daredevils daredevil
thomass thomas
resolve resolves
who whos
horns horn
stanislavskys stanislavsky
maxims maxim
parasite parasites
nw nws
brothers brethren brother
pariss paris
curtiss curtis
lobule lobules
dye dyes dyess
imprint imprints
pentagons pentagon
bases base
papyrus papyri
sentence sentences
cutler cutlers
catalans catalan
captures capture
scanners scanner
dutchess dutch
ru rus
redevelopment redevelopments
referendums referendum
integers integer
investigators investigator
care cares
rounds round
edge edges
verdict verdicts
efforts effort
podium podiums
couches couchs couch
vaccines vaccine
archipelago archipelagos archipelagoes
martyr martyrs
rbis rbi
shannons shannon
duelist duelists
signing signings
aristotles aristotle
amalgams amalgam
italians italian
justinian justinians
icosahedra icosahedron
scam scams
id ids
honeys honey
padres padre
tandem tandems
texts text
lan lans
ariadnes ariadne
request requests
drews drew
tribesman tribesmen tribesmens
aryans aryan
segments segment
gudgeons gudgeon
sahara saharas
concentration concentrations
donation donations
symphonies symphony
materialists materialist
kshatriya kshatriyas
reunion reunions
thread threads
laureates laureate
raps rap
self selfs selves
interpretations interpretation
breast breasts
apocalypses apocalypse
nepal nepals
computer computers
phrases phrase
tankers tanker
lee lees
tigers tiger
autopsy autopsies
package packages
sleep sleeps
novelist novelists
struggle struggles
revolutionary revolutionaries
sideswipe sideswipes
decompositions decomposition
seton setons
duplicate duplicates
pitcher pitchers
annuals annual
prairies prairie
geophysicists geophysicist
sums sum
als al
block blocks
levels level
perception perceptions
featherweight featherweights
averages average
fans fan
plantations plantation
lama lamas
jungles jungle
drawing drawings
beers beer
vertebra vertebras vertebrae
compositions composition
sou souss sous
enactments enactment
heraldry heraldries
loans loan
spirits spirit
impostors impostor
hart harts
tamarillo tamarillos
winery wineries
actor actors
jordan jordans
ensemble ensembles
munro munros
rituals ritual
sayings saying
illustrator illustrators
meadows meadow
percentages percentage
lund lunds
aides aide
jihads jihad
fraternity fraternities fraternitys
droughts drought
essays essay
shiites shiite
cas ca cass
pat pats
mol mols
organisations organisation
objects object
subway subways
tape tapes
naturals natural
bethlehem bethlehems
judges judge
dramas drama
networks network
destiny destinys destinies
turn turns
danes dane
alto altos
theatres theatre
rating ratings
valedictorian valedictorians
haredi haredim
cube cubes
apostle apostles
opening openings
probationer probationers
hartfords hartford
manufacturer manufacturers
petrel petrels
festivals festival
bust busts
hybrids hybrid
bennetts bennett
spectrum spectrums spectra
gaskells gaskell
traveller travellers
hardy hardys
tale tales
perspectives perspective
court courts
handicap handicaps
plate plates
gandhis gandhi
trial trials
effect effects
sects sect
microcomputers microcomputer
plan plans
entomologist entomologists
steroids steroid
barbs barb
beats beat
widget widgets
rumor rumors
neuroscience neurosciences
museum museums
elevations elevation
cameramen cameraman
friendly friendlies
beckett becketts
doles dole
mounts mount
arranger arrangers
mill mills
ontario ontarios
psychic psychics
hollys holly
morgan morgans
caucasian caucasians
holds hold
dynamics dynamic
rangers ranger
collapses collapse
letter letters
israelis israeli
functions function
parachutes parachute
sitas sita
ships ship
cigars cigar
amir amirs
bytes byte
loyalties loyalty
redbird redbirds
kidnapper kidnappers
space spaces
indiana indianas
clink clinks
chieftains chieftain
felonies felony
vendors vendor
coulter coulters
primitives primitive
nuclei nucleus
russell russells
livy livys
blossoms blossom
tanzanias tanzania
leighs leigh
glaciers glacier
nixons nixon
opossums opossum
malaprop malaprops
illyrian illyrians
outfielders outfielder
shooters shooter
bernsteins bernstein
jets jet
parliaments parliament
crosbys crosby
sierra sierras
primes prime
revolutions revolution
pennsylvania pennsylvanias
power powers
procedure procedures
ear ears
blackburns blackburn
duration durations
abomination abominations
terms term
modernizations modernization
anthems anthem
frazer frazers
chime chimes
fronts front
isle isles
masses mass
masks mask
ramas rama
ecosystems ecosystem
lover lovers
soviets soviet
salesman salesmans salesmens
centesimo centesimi
villas villa
occupants occupant
enamel enamels
duels duel
tube tubes
criminologist criminologists
wheels wheel
voltages voltage
waynes wayne
commons common
fishermans fisherman fishermen
heinlein heinleins
etchings etching
lobbyists lobbyist
descendant descendants
seeks seek
riders rider
berlins berlin
creature creatures
interceptions interception
catalysts catalyst
optician opticians
indictment indictments
endeavors endeavor
vectors vector
delaware delawares
pounds pound
ufo ufos
uruguayans uruguayan
posse possess possesses
collections collection
maiden maidens
prophecies prophecy
sailor sailors
festivities festivity
plaintiff plaintiffs
salamander salamanders
psychotherapies psychotherapy
arizona arizonas
nancy nancys
begins begin
coin coins
toys toy
charter charters
heir heirs
medina medinas
responsibility responsibilities
salons salon
jem jems
transmission transmissions
swallows swallow
planet planets
lauders lauder
dotterel dotterels
nightjar nightjars
lineages lineage
mayors mayor
fiber fibers
colombia colombias
pence pennys penny pennies
aisle aisles
pseudonyms pseudonym
planters planter
melissas melissa
literature literatures
texans texan
computation computations
catholic catholics
wife wives wifes
paradox paradoxes
curse curses
secs sec
continuation continuations
butterfly butterflys butterflies
beetle beetles
marquess marquesses
videocassettes videocassette
subscriptions subscription
gars gar
poppys poppy poppies
islamists islamist
hoaxes hoax
mammals mammal
uprising uprisings
candidate candidates
cistercian cistercians
fiddlenecks fiddleneck
theft thefts
chapels chapel
escapes escape
quad quads
leader leaders
loser losers
mandates mandate
teachers teacher
coffee coffees
vegans vegan
watsons watson
experiments experiment
antelopes antelope
humperdinck humperdincks
spielberg spielbergs
sibyls sibyl
ignition ignitions
suburb suburbs
aeroplane aeroplanes
saga sagas
shins shin
academics academic
progenitor progenitors
partsong partsongs
electors elector
diva divas
magic magics
shooting shootings
watchmakers watchmaker
distillery distilleries
semis semi
memphis memphiss
indemnity indemnities
hegemony hegemonys
godwits godwit
labs lab
violin violins
casts cast
fix fixes
resistance resistances
bargains bargain
echinoderms echinoderm
rho rhos
arrangement arrangements
transit transits
copolymer copolymers
pools pool
patch patches
crisises crisis crises
bengals bengal
thug thugs
blackfeet blackfoot
vii viis
flanker flankers
barrier barriers
styles style
fines fine
bike bikes
vertebrates vertebrate
fence fences
