wc,vc
1866,737
1870,738
1871,739
1889,740
1895,741
1897,742
1899,743
1910,744
1933,745
1936,746
1938,747
1939,748
1947,749
1949,750
1951,751
1955,752
1959,753
1966,754
1969,755
1971,756
1972,757
1978,758
1980,759
1984,760
1987,761
1989,762
1994,763
1995,764
2001,765
2002,766
2003,767
2023,768
2025,769
2038,770
2048,771
2058,772
2060,773
2063,774
2064,775
2065,776
2067,777
2068,778
2078,779
2088,780
2089,781
2092,782
2095,783
2096,784
2099,785
2100,786
2101,787
2105,788
2109,789
2110,790
2113,791
2115,792
2118,793
2120,794
2122,795
2123,796
2128,797
2130,798
2132,799
2133,800
2134,801
2135,802
2137,803
2138,804
2139,805
2141,806
2146,807
2148,808
2150,809
2152,810
2156,811
2158,812
2161,813
2164,814
2171,815
2172,816
2174,817
2185,818
2187,819
2188,820
2190,821
2191,822
2193,823
2194,824
2196,825
2197,826
2199,827
2200,828
2202,829
2203,830
2205,831
2206,832
2207,833
2209,834
2210,835
2213,836
2215,837
2216,838
2218,839
2219,840
2221,841
2222,842
2223,843
2224,844
2225,845
2233,846
2234,847
2235,848
2236,849
2237,850
2238,851
2239,852
2240,853
2241,854
2242,855
2243,856
2244,857
2245,858
2246,859
2247,860
2248,861
2249,862
2250,863
2251,864
2252,865
2253,866
2256,867
2258,868
2259,869
2260,870
2262,871
2263,872
2264,873
2265,874
2268,875
2269,876
2271,877
2272,878
2274,879
2275,880
2277,881
2278,882
2279,883
2280,884
2281,885
2282,886
2283,887
2284,888
2285,889
2286,890
2287,891
2288,892
2291,893
2292,894
2293,895
2294,896
2295,897
2296,898
2297,899
2298,900
2299,901
2300,902
2302,903
2303,904
2304,905
2307,906
2308,907
2309,908
2310,909
2311,910
2312,911
2313,912
2314,913
2317,914
2318,915
2319,916
2320,917
2322,918
2323,919
2324,920
2325,921
2326,922
2329,923
2330,924
2331,925
2334,926
2335,927
2336,928
2337,929
2340,930
2341,931
2342,932
2345,933
2346,934
2347,935
2351,936
2353,937
2354,938
2355,939
2356,940
2359,941
2360,942
2361,943
2364,944
2367,945
2379,946
2390,947
2423,948
2424,949
2438,950
2446,951
2447,952
2448,953
2450,954
2451,955
2452,956
2453,957
2454,958
2456,959
2457,960
2458,961
2459,962
2460,963
2461,964
2463,965
2511,966
2512,967
2548,968
2550,969
2552,970
2553,971
2554,972
2556,973
2558,974
2563,975
2564,976
2565,977
2566,978
2568,979
2569,980
2572,981
2574,982
2575,983
2577,984
2578,985
2579,986
2582,987
2584,988
2585,989
2590,990
2592,991
2612,992
2614,993
2615,994
2617,995
2618,996
2619,997
2621,998
2625,999
2627,1000
2630,1001
2631,1002
2635,1003
2639,1004
2640,1005
2644,1006
2646,1007
2652,1008
2653,1009
2654,1010
2655,1011
2656,1012
2661,1013
2664,1014
2666,1015
2667,1016
2670,1017
2671,1018
2673,1019
2674,1020
2677,1021
2678,1022
2679,1023
2680,1024
2681,1025
2682,1026
2684,1027
2687,1028
2694,1029
2697,1030
2698,1031
2701,1032
2703,1033
2706,1034
2712,1035
2714,1036
2715,1037
2716,1038
2719,1039
2722,1040
2723,1041
2726,1042
2727,1043
2728,1044
2729,1045
2731,1046
2732,1047
2733,1048
2734,1049
2738,1050
2739,1051
2740,1052
2741,1053
2744,1054
2751,1055
2754,1056
2755,1057
2758,1058
2759,1059
2764,1060
2768,1061
2769,1062
2770,1063
2771,1064
2772,1065
2773,1066
2776,1067
2778,1068
2779,1069
2780,1070
2781,1071
2785,1072
2791,1073
2793,1074
2794,1075
2796,1076
2798,1077
2799,1078
2801,1079
2802,1080
2805,1081
2807,1082
2809,1083
2810,1084
2814,1085
2817,1086
2821,1087
2823,1088
2824,1089
2827,1090
2831,1091
2832,1092
2833,1093
2840,1094
2841,1095
2845,1096
2847,1097
2879,1098
2880,1099
2881,1100
2883,1101
2891,1102
2908,1103
2909,1104
2910,1105
2911,1106
2912,1107
2913,1108
2914,1109
2915,1110
2916,1111
2917,1112
2918,1113
2919,1114
2920,1115
2921,1116
2922,1117
2923,1118
2924,1119
2925,1120
2926,1121
2927,1122
2928,1123
2930,1124
2972,1125
2973,1126
3007,1127
3008,1128
3012,1129
3015,1130
3016,1131
3018,1132
3020,1133
3023,1134
3024,1135
3026,1136
3029,1137
3030,1138
3031,1139
3032,1140
3033,1141
3036,1142
3039,1143
3044,1144
3045,1145
3046,1146
3048,1147
3051,1148
3054,1149
3055,1150
3058,1151
3066,1152
3068,1153
3069,1154
3070,1155
3071,1156
3073,1157
3074,1158
3075,1159
3076,1160
3079,1161
3081,1162
3082,1163
3083,1164
3086,1165
3087,1166
3088,1167
3091,1168
3092,1169
3093,1170
3094,1171
3097,1172
3101,1173
3103,1174
3104,1175
3105,1176
3106,1177
3107,1178
3108,1179
3109,1180
3110,1181
3113,1182
3119,1183
3121,1184
3123,1185
3125,1186
3126,1187
3127,1188
3129,1189
3132,1190
3133,1191
3137,1192
3138,1193
3143,1194
3146,1195
3148,1196
3149,1197
3150,1198
3151,1199
3153,1200
3157,1201
3161,1202
3166,1203
3167,1204
3169,1205
3178,1206
3181,1207
3185,1208
3188,1209
3189,1210
3191,1211
3196,1212
3201,1213
3220,1214
3221,1215
3222,1216
3258,1217
3266,1218
3274,1219
3275,1220
3277,1221
3278,1222
3279,1223
3280,1224
3281,1225
3282,1226
3283,1227
3285,1228
3286,1229
3334,1230
3336,1231
3371,1232
3372,1233
3375,1234
3379,1235
3382,1236
3383,1237
3386,1238
3388,1239
3389,1240
3391,1241
3393,1242
3394,1243
3397,1244
3400,1245
3407,1246
3408,1247
3410,1248
3412,1249
3413,1250
3419,1251
3421,1252
3424,1253
3428,1254
3430,1255
3433,1256
3434,1257
3437,1258
3459,1259
3460,1260
3462,1261
3464,1262
3468,1263
3476,1264
3477,1265
3479,1266
3480,1267
3482,1268
3485,1269
3487,1270
3492,1271
3493,1272
3495,1273
3496,1274
3499,1275
3502,1276
3503,1277
3504,1278
3505,1279
3511,1280
3512,1281
3515,1282
3517,1283
3523,1284
3524,1285
3527,1286
3534,1287
3535,1288
3539,1289
3540,1290
3543,1291
3544,1292
3546,1293
3547,1294
3549,1295
3550,1296
3551,1297
3553,1298
3555,1299
3557,1300
3562,1301
3564,1302
3567,1303
3571,1304
3572,1305
3575,1306
3576,1307
3578,1308
3579,1309
3580,1310
3583,1311
3587,1312
3589,1313
3590,1314
3591,1315
3596,1316
3600,1317
3606,1318
3607,1319
3609,1320
3612,1321
3615,1322
3616,1323
3617,1324
3621,1325
3624,1326
3629,1327
3630,1328
3631,1329
3633,1330
3635,1331
3637,1332
3638,1333
3648,1334
3668,1335
3669,1336
3673,1337
3675,1338
3676,1339
3678,1340
3681,1341
3688,1342
3690,1343
3692,1344
3697,1345
3699,1346
3701,1347
3705,1348
3708,1349
3710,1350
3711,1351
3717,1352
3720,1353
3723,1354
3724,1355
3727,1356
3730,1357
3732,1358
3733,1359
3736,1360
3737,1361
3738,1362
3739,1363
3743,1364
3745,1365
3749,1366
3751,1367
3752,1368
3755,1369
3760,1370
3763,1371
3768,1372
3771,1373
3773,1374
3774,1375
3775,1376
3778,1377
3779,1378
3782,1379
3784,1380
3786,1381
3787,1382
3789,1383
3793,1384
3795,1385
3797,1386
3800,1387
3804,1388
3805,1389
3807,1390
3815,1391
3822,1392
3823,1393
3826,1394
3827,1395
3833,1396
3834,1397
3841,1398
3843,1399
3845,1400
3847,1401
3853,1402
3855,1403
3858,1404
3860,1405
3863,1406
3865,1407
3867,1408
3871,1409
3876,1410
3877,1411
3884,1412
3886,1413
3888,1414
3889,1415
3897,1416
3904,1417
3905,1418
3907,1419
3908,1420
3911,1421
3924,1422
3932,1423
3939,1424
3942,1425
3943,1426
3945,1427
3946,1428
3948,1429
3950,1430
3952,1431
3953,1432
3958,1433
3959,1434
3960,1435
3972,1436
3975,1437
3976,1438
3979,1439
3985,1440
3986,1441
3988,1442
3989,1443
3991,1444
3992,1445
3993,1446
3997,1447
4003,1448
4005,1449
4010,1450
4054,1451
4062,1452
4063,1453
4064,1454
4065,1455
4067,1456
4109,1457
4110,1458
4111,1459
4112,1460
4113,1461
4153,1462
4157,1463
4160,1464
4162,1465
4166,1466
4167,1467
4169,1468
4171,1469
4172,1470
4175,1471
4177,1472
4178,1473
4179,1474
4180,1475
4182,1476
4185,1477
4186,1478
4197,1479
4198,1480
4203,1481
4204,1482
4205,1483
4208,1484
4210,1485
4211,1486
4242,1487
4248,1488
4249,1489
4250,1490
4251,1491
4257,1492
4302,1493
4354,1494
4387,1495
4390,1496
4391,1497
4393,1498
4394,1499
4395,1500
4398,1501
4399,1502
4401,1503
4403,1504
4404,1505
4406,1506
4411,1507
4430,1508
4432,1509
4436,1510
4438,1511
4440,1512
4441,1513
4444,1514
4445,1515
4448,1516
4449,1517
4450,1518
4451,1519
4452,1520
4454,1521
4456,1522
4457,1523
4462,1524
4465,1525
4470,1526
4473,1527
4474,1528
4475,1529
4479,1530
4480,1531
4483,1532
4486,1533
4487,1534
4490,1535
4492,1536
4494,1537
4495,1538
4499,1539
4501,1540
4503,1541
4505,1542
4507,1543
4510,1544
4511,1545
4512,1546
4514,1547
4525,1548
4526,1549
4528,1550
4535,1551
4536,1552
4537,1553
4540,1554
4543,1555
4544,1556
4547,1557
4549,1558
4551,1559
4554,1560
4556,1561
4557,1562
4560,1563
4563,1564
4564,1565
4569,1566
4570,1567
4571,1568
4575,1569
4576,1570
4578,1571
4579,1572
4582,1573
4583,1574
4584,1575
4586,1576
4588,1577
4592,1578
4594,1579
4598,1580
4599,1581
4602,1582
4603,1583
4606,1584
4607,1585
4608,1586
4609,1587
4625,1588
4656,1589
4663,1590
4670,1591
4679,1592
4680,1593
4682,1594
4730,1595
4764,1596
4765,1597
4768,1598
4778,1599
4785,1600
4788,1601
4789,1602
4790,1603
4792,1604
4796,1605
4799,1606
4801,1607
4803,1608
4804,1609
4806,1610
4808,1611
4809,1612
4810,1613
4813,1614
4814,1615
4816,1616
4817,1617
4818,1618
4821,1619
4822,1620
4826,1621
4827,1622
4828,1623
4830,1624
4832,1625
4835,1626
4837,1627
4838,1628
4851,1629
4852,1630
4857,1631
4859,1632
4860,1633
4861,1634
4864,1635
4865,1636
4866,1637
4869,1638
4890,1639
4891,1640
4892,1641
4897,1642
4900,1643
4902,1644
4903,1645
4910,1646
4912,1647
4913,1648
4914,1649
4916,1650
4918,1651
4919,1652
4921,1653
4924,1654
4925,1655
4926,1656
4927,1657
4929,1658
4935,1659
4936,1660
4941,1661
4943,1662
4944,1663
4949,1664
4950,1665
4952,1666
4953,1667
4955,1668
4956,1669
4957,1670
4958,1671
4959,1672
4964,1673
4966,1674
4967,1675
4968,1676
4973,1677
4975,1678
4976,1679
4981,1680
4982,1681
4983,1682
4995,1683
5002,1684
5005,1685
5008,1686
5052,1687
5053,1688
5054,1689
5068,1690
5069,1691
5071,1692
5073,1693
5075,1694
5076,1695
5079,1696
5083,1697
5087,1698
5089,1699
5092,1700
5093,1701
5094,1702
5097,1703
5101,1704
5105,1705
5106,1706
5112,1707
5115,1708
5118,1709
5120,1710
5127,1711
5132,1712
5135,1713
5146,1714
5147,1715
5151,1716
5155,1717
5157,1718
5159,1719
5161,1720
5165,1721
5167,1722
5168,1723
5170,1724
5175,1725
5176,1726
5177,1727
5179,1728
5180,1729
5181,1730
5182,1731
5183,1732
5184,1733
5185,1734
5188,1735
5189,1736
5195,1737
5196,1738
5206,1739
5207,1740
5209,1741
5210,1742
5212,1743
5224,1744
5230,1745
