wc,vc
1656,737
1659,738
1663,739
1665,740
1668,741
1764,742
1765,743
1781,744
1785,745
1786,746
1788,747
1789,748
1790,749
1795,750
1796,751
1797,752
1798,753
1801,754
1802,755
1803,756
1804,757
1805,758
1806,759
1809,760
1810,761
1811,762
1812,763
1813,764
1816,765
1817,766
1822,767
1826,768
1827,769
1830,770
1833,771
1835,772
1836,773
1838,774
1839,775
1840,776
1841,777
1842,778
1843,779
1844,780
1846,781
1848,782
1851,783
1854,784
1855,785
1856,786
1857,787
1858,788
1859,789
1863,790
1871,791
1872,792
1873,793
1878,794
1880,795
1881,796
1882,797
1885,798
1886,799
1887,800
1891,801
1892,802
1893,803
1894,804
1895,805
1896,806
1898,807
1899,808
1900,809
1901,810
1902,811
1904,812
1907,813
1908,814
1909,815
1910,816
1911,817
1912,818
1913,819
1914,820
1916,821
1918,822
1919,823
1921,824
1923,825
1924,826
1926,827
1927,828
1930,829
1932,830
1936,831
1937,832
1938,833
1939,834
1940,835
1941,836
1942,837
1943,838
1944,839
1945,840
1946,841
1947,842
1948,843
1950,844
1951,845
1952,846
1953,847
1954,848
1955,849
1956,850
1957,851
1958,852
1959,853
1960,854
1961,855
1962,856
1963,857
1964,858
1965,859
1966,860
1967,861
1968,862
1969,863
1970,864
1971,865
1972,866
1973,867
1974,868
1975,869
1976,870
1977,871
1978,872
1979,873
1980,874
1981,875
1982,876
1983,877
1984,878
1985,879
1986,880
1987,881
1988,882
1989,883
1990,884
1991,885
1992,886
1993,887
1994,888
1995,889
1996,890
1997,891
1998,892
1999,893
2000,894
2001,895
2002,896
2003,897
2004,898
2005,899
2006,900
2007,901
2008,902
2009,903
2010,904
2011,905
2012,906
2013,907
2014,908
2015,909
2016,910
2017,911
2018,912
2019,913
2020,914
2021,915
2022,916
2023,917
2024,918
2025,919
2026,920
2027,921
2028,922
2029,923
2030,924
2031,925
2032,926
2033,927
2034,928
2035,929
2036,930
2037,931
2038,932
2039,933
2040,934
2041,935
2042,936
2043,937
2044,938
2045,939
2046,940
2047,941
2048,942
2049,943
2050,944
2052,945
2054,946
2056,947
2057,948
2059,949
2062,950
2063,951
2064,952
2065,953
2066,954
2067,955
2069,956
2072,957
2073,958
2076,959
2077,960
2078,961
2080,962
2081,963
2082,964
2083,965
2084,966
2087,967
2088,968
2089,969
2090,970
2127,971
2128,972
2129,973
2131,974
2132,975
2133,976
2134,977
2135,978
2136,979
2138,980
2140,981
2141,982
2142,983
2145,984
2146,985
2148,986
2149,987
2152,988
2158,989
2162,990
2163,991
2165,992
2175,993
2179,994
2180,995
2190,996
2191,997
2192,998
2193,999
2194,1000
2195,1001
2196,1002
2197,1003
2198,1004
2199,1005
2200,1006
2210,1007
2212,1008
2215,1009
2216,1010
2217,1011
2218,1012
2226,1013
2237,1014
2238,1015
2241,1016
2242,1017
2244,1018
2245,1019
2246,1020
2251,1021
2261,1022
2264,1023
2266,1024
2268,1025
2279,1026
2281,1027
2306,1028
2307,1029
2308,1030
2313,1031
2314,1032
2316,1033
2318,1034
2320,1035
2321,1036
2322,1037
2326,1038
2348,1039
2349,1040
2350,1041
2352,1042
2357,1043
2361,1044
2362,1045
2365,1046
2369,1047
2372,1048
2373,1049
2376,1050
2379,1051
2385,1052
2386,1053
2388,1054
2390,1055
2391,1056
2392,1057
2393,1058
2394,1059
2396,1060
2397,1061
2400,1062
2401,1063
2402,1064
2406,1065
2409,1066
2412,1067
2413,1068
2414,1069
2419,1070
2420,1071
2430,1072
2432,1073
2433,1074
2436,1075
2485,1076
2486,1077
2492,1078
2499,1079
2500,1080
2502,1081
2503,1082
2504,1083
2505,1084
2507,1085
2543,1086
2577,1087
2579,1088
2581,1089
2582,1090
2584,1091
2586,1092
2587,1093
2588,1094
2590,1095
2594,1096
2595,1097
2597,1098
2601,1099
2602,1100
2603,1101
2604,1102
2605,1103
2607,1104
2608,1105
2616,1106
2617,1107
2619,1108
2621,1109
2622,1110
2623,1111
2625,1112
2627,1113
2630,1114
2632,1115
2633,1116
2635,1117
2636,1118
2637,1119
2640,1120
2642,1121
2643,1122
2644,1123
2645,1124
2649,1125
2650,1126
2652,1127
2653,1128
2654,1129
2655,1130
2658,1131
2659,1132
2665,1133
2674,1134
2675,1135
2677,1136
2679,1137
2680,1138
2681,1139
2686,1140
2689,1141
2691,1142
2693,1143
2696,1144
2698,1145
2699,1146
2700,1147
2701,1148
2702,1149
2703,1150
2704,1151
2705,1152
2707,1153
2710,1154
2711,1155
2713,1156
2716,1157
2718,1158
2719,1159
2720,1160
2721,1161
2723,1162
2727,1163
2729,1164
2731,1165
2732,1166
2733,1167
2734,1168
2735,1169
2736,1170
2738,1171
2740,1172
2741,1173
2746,1174
2747,1175
2749,1176
2750,1177
2751,1178
2756,1179
2758,1180
2759,1181
2762,1182
2764,1183
2765,1184
2768,1185
2769,1186
2770,1187
2771,1188
2772,1189
2773,1190
2775,1191
2776,1192
2778,1193
2781,1194
2784,1195
2788,1196
2789,1197
2790,1198
2794,1199
2795,1200
2797,1201
2798,1202
2800,1203
2802,1204
2805,1205
2807,1206
2808,1207
2812,1208
2813,1209
2814,1210
2815,1211
2816,1212
2817,1213
2818,1214
2819,1215
2820,1216
2821,1217
2822,1218
2825,1219
2827,1220
2834,1221
2836,1222
2837,1223
2841,1224
2847,1225
2849,1226
2851,1227
2854,1228
2861,1229
2862,1230
2863,1231
2864,1232
2867,1233
2875,1234
2880,1235
2923,1236
2924,1237
2925,1238
2931,1239
2939,1240
2940,1241
2941,1242
2942,1243
2943,1244
2946,1245
2982,1246
3018,1247
3019,1248
3020,1249
3021,1250
3022,1251
3023,1252
3024,1253
3025,1254
3026,1255
3027,1256
3029,1257
3030,1258
3031,1259
3032,1260
3033,1261
3034,1262
3037,1263
3038,1264
3039,1265
3048,1266
3049,1267
3055,1268
3064,1269
3066,1270
3068,1271
3071,1272
3072,1273
3075,1274
3076,1275
3079,1276
3083,1277
3086,1278
3091,1279
3100,1280
3103,1281
3104,1282
3106,1283
3110,1284
3118,1285
3119,1286
3120,1287
3124,1288
3125,1289
3127,1290
3128,1291
3129,1292
3130,1293
3131,1294
3133,1295
3134,1296
3137,1297
3139,1298
3140,1299
3142,1300
3143,1301
3149,1302
3150,1303
3153,1304
3155,1305
3157,1306
3160,1307
3161,1308
3162,1309
3163,1310
3165,1311
3167,1312
3170,1313
3174,1314
3179,1315
3180,1316
3183,1317
3189,1318
3192,1319
3193,1320
3194,1321
3196,1322
3198,1323
3199,1324
3200,1325
3202,1326
3204,1327
3205,1328
3206,1329
3207,1330
3208,1331
3209,1332
3210,1333
3211,1334
3212,1335
3213,1336
3216,1337
3219,1338
3221,1339
3225,1340
3227,1341
3228,1342
3231,1343
3232,1344
3234,1345
3235,1346
3237,1347
3238,1348
3243,1349
3251,1350
3253,1351
3254,1352
3255,1353
3256,1354
3257,1355
3258,1356
3260,1357
3261,1358
