wc,vc
1953,727
1954,728
1955,729
1957,730
1959,731
1962,732
1964,733
1965,734
1966,735
1967,736
1969,737
1970,738
1976,739
1978,740
1981,741
1985,742
1990,743
1991,744
1992,745
1993,746
1997,747
1999,748
2000,749
2001,750
2002,751
2015,752
2016,753
2022,754
2025,755
2027,756
2029,757
2032,758
2034,759
2035,760
2036,761
2037,762
2038,763
2039,764
2040,765
2042,766
2043,767
2044,768
2045,769
2048,770
2050,771
2051,772
2052,773
2053,774
2055,775
2056,776
2061,777
2063,778
2068,779
2070,780
2072,781
2076,782
2077,783
2079,784
2081,785
2087,786
2089,787
2100,788
2106,789
2108,790
2109,791
2119,792
2120,793
2121,794
2122,795
2126,796
2127,797
2131,798
2135,799
2138,800
2140,801
2142,802
2148,803
2150,804
2151,805
2154,806
2156,807
2157,808
2159,809
2161,810
2169,811
2171,812
2174,813
2177,814
2183,815
2184,816
2186,817
2187,818
2192,819
2194,820
2196,821
2197,822
2210,823
2212,824
2213,825
2214,826
2221,827
2224,828
2228,829
2229,830
2232,831
2233,832
2235,833
2236,834
2238,835
2240,836
2241,837
2243,838
2244,839
2245,840
2246,841
2249,842
2250,843
2254,844
2256,845
2257,846
2258,847
2262,848
2266,849
2269,850
2270,851
2271,852
2273,853
2274,854
2276,855
2277,856
2278,857
2280,858
2284,859
2285,860
2288,861
2289,862
2292,863
2293,864
2294,865
2296,866
2297,867
2299,868
2300,869
2302,870
2303,871
2304,872
2305,873
2309,874
2310,875
2311,876
2312,877
2315,878
2322,879
2326,880
2328,881
2332,882
2333,883
2339,884
2345,885
2346,886
2349,887
2351,888
2353,889
2354,890
2355,891
2356,892
2357,893
2359,894
2360,895
2362,896
2363,897
2366,898
2370,899
2371,900
2373,901
2374,902
2375,903
2380,904
2382,905
2388,906
2397,907
2402,908
2406,909
2411,910
2413,911
2414,912
2415,913
2420,914
2423,915
2425,916
2429,917
2432,918
2434,919
2469,920
2470,921
2477,922
2484,923
2486,924
2527,925
2528,926
2529,927
2568,928
2569,929
2570,930
2572,931
2573,932
2579,933
2580,934
2587,935
2591,936
2593,937
2595,938
2597,939
2598,940
2601,941
2602,942
2603,943
2604,944
2606,945
2608,946
2609,947
2613,948
2614,949
2616,950
2620,951
2621,952
2623,953
2640,954
2641,955
2642,956
2656,957
2658,958
2662,959
2663,960
2665,961
2667,962
2668,963
2669,964
2670,965
2680,966
2681,967
2682,968
2683,969
2685,970
2686,971
2691,972
2693,973
2695,974
2696,975
2697,976
2699,977
2700,978
2701,979
2702,980
2704,981
2706,982
2707,983
2708,984
2710,985
2711,986
2712,987
2714,988
2717,989
2720,990
2721,991
2724,992
2725,993
2731,994
2732,995
2740,996
2741,997
2742,998
2744,999
2749,1000
2753,1001
2754,1002
2756,1003
2761,1004
2762,1005
2766,1006
2770,1007
2773,1008
2774,1009
2775,1010
2776,1011
2777,1012
2779,1013
2784,1014
2785,1015
2791,1016
2793,1017
2794,1018
2796,1019
2797,1020
2798,1021
2799,1022
2807,1023
2809,1024
2814,1025
2816,1026
2817,1027
2818,1028
2828,1029
2829,1030
2830,1031
2833,1032
2835,1033
2841,1034
2847,1035
2848,1036
2849,1037
2850,1038
2852,1039
2853,1040
2854,1041
2855,1042
2856,1043
2859,1044
2860,1045
2864,1046
2866,1047
2869,1048
2874,1049
2875,1050
2876,1051
2877,1052
2878,1053
2882,1054
2889,1055
2891,1056
2892,1057
2893,1058
2896,1059
2897,1060
2899,1061
2900,1062
2901,1063
2902,1064
2903,1065
2905,1066
2909,1067
2911,1068
2914,1069
2915,1070
2916,1071
2919,1072
2920,1073
2927,1074
2929,1075
2930,1076
2934,1077
2937,1078
2938,1079
2940,1080
2941,1081
2943,1082
2950,1083
2964,1084
2966,1085
2967,1086
2969,1087
2971,1088
2972,1089
2974,1090
2977,1091
2979,1092
2985,1093
2989,1094
2991,1095
2993,1096
2997,1097
3003,1098
3004,1099
3007,1100
3009,1101
3010,1102
3016,1103
3020,1104
3021,1105
3023,1106
3026,1107
3027,1108
3029,1109
3031,1110
3032,1111
3033,1112
3036,1113
3039,1114
3051,1115
3052,1116
3055,1117
3056,1118
3057,1119
3058,1120
3059,1121
3062,1122
3066,1123
3069,1124
3071,1125
3073,1126
3077,1127
3079,1128
3080,1129
3081,1130
3086,1131
3089,1132
3092,1133
3098,1134
3099,1135
3100,1136
3103,1137
3105,1138
3106,1139
3107,1140
3110,1141
3112,1142
3114,1143
3117,1144
3119,1145
3120,1146
3134,1147
3137,1148
3138,1149
3140,1150
3141,1151
3142,1152
3143,1153
3153,1154
3158,1155
3160,1156
3161,1157
3166,1158
3169,1159
3176,1160
3179,1161
3182,1162
3186,1163
3188,1164
3195,1165
3198,1166
3204,1167
3220,1168
3222,1169
3224,1170
3229,1171
3231,1172
3233,1173
3234,1174
3239,1175
3240,1176
3242,1177
3243,1178
3244,1179
3247,1180
3248,1181
3250,1182
3255,1183
3257,1184
3259,1185
3261,1186
3262,1187
3270,1188
3271,1189
3276,1190
3277,1191
3279,1192
3281,1193
3284,1194
3285,1195
3289,1196
3292,1197
3294,1198
3295,1199
3296,1200
3297,1201
3299,1202
3300,1203
3301,1204
3303,1205
3305,1206
3306,1207
3307,1208
3309,1209
3310,1210
3311,1211
3313,1212
3314,1213
3315,1214
3319,1215
3320,1216
3321,1217
3322,1218
3323,1219
3325,1220
3326,1221
3328,1222
3329,1223
3332,1224
3335,1225
3336,1226
3337,1227
3338,1228
3339,1229
3341,1230
3342,1231
3343,1232
3344,1233
3345,1234
3346,1235
3348,1236
3349,1237
3352,1238
3354,1239
3355,1240
3356,1241
3359,1242
3361,1243
3362,1244
3365,1245
3366,1246
3367,1247
3368,1248
3369,1249
3371,1250
3372,1251
3375,1252
3376,1253
3377,1254
3378,1255
3381,1256
3382,1257
3383,1258
3385,1259
3387,1260
3388,1261
3389,1262
3390,1263
3392,1264
3393,1265
3394,1266
3396,1267
3401,1268
3402,1269
3403,1270
3404,1271
3405,1272
3409,1273
3410,1274
3411,1275
3412,1276
3413,1277
3415,1278
3416,1279
3419,1280
3421,1281
3428,1282
3437,1283
3439,1284
3450,1285
3451,1286
3453,1287
3454,1288
3457,1289
3458,1290
3462,1291
3463,1292
3466,1293
3469,1294
3470,1295
3471,1296
3474,1297
3476,1298
3477,1299
3480,1300
3486,1301
3489,1302
3495,1303
3497,1304
3508,1305
3509,1306
3513,1307
3514,1308
3515,1309
3516,1310
3518,1311
3519,1312
3525,1313
3526,1314
3528,1315
